ref,transient profile,sensor_data,error,control_signal,ESO 1st order,ESO 2nd order,ESO 3rd order,ESO 4th order
2.000000,1.999410,1.980806,0.021022,-0.540109,1.980527,0.042381,36.766052,0.000000
2.000000,2.000026,1.982418,0.019220,-0.560133,1.982079,0.119392,37.388489,0.000000
2.000000,1.999410,1.977582,0.016992,-0.615855,1.979091,-0.056099,34.618774,0.000000
2.000000,2.000026,1.980806,0.022443,-0.471362,1.980172,-0.005180,35.781799,0.000000
2.000000,1.999410,1.981612,0.018604,-0.521719,1.981306,0.098114,36.342896,0.000000
2.000000,2.000026,1.984835,0.018414,-0.582939,1.984225,0.218491,37.463013,0.000000
2.000000,1.999410,1.976777,0.014575,-0.673044,1.979292,-0.103882,32.846741,0.000000
2.000000,2.000026,1.982418,0.023249,-0.419484,1.981228,-0.029480,35.029541,0.000000
2.000000,1.999410,1.983223,0.016992,-0.501396,1.982741,0.121086,35.914062,0.000000
2.000000,2.000026,1.977582,0.016802,-0.592277,1.979295,-0.060349,32.770264,0.000000
2.000000,1.999410,1.986447,0.021827,-0.441573,1.984387,0.176811,36.551025,0.000000
2.000000,2.000026,1.988865,0.013579,-0.635999,1.988277,0.343811,37.629639,0.000000
2.000000,1.999410,1.987253,0.010545,-0.751588,1.988391,0.177109,35.541138,0.000000
2.000000,2.000026,1.984029,0.012773,-0.634324,1.985487,-0.119812,32.866272,0.000000
2.000000,1.999410,1.982418,0.015381,-0.437650,1.982826,-0.233322,32.116150,0.000000
2.000000,2.000026,1.981612,0.017608,-0.357999,1.981387,-0.153053,32.528992,0.000000
2.000000,1.999410,1.981612,0.017798,-0.400588,1.981286,-0.009430,33.125977,0.000000
2.000000,2.000026,1.982418,0.018414,-0.477270,1.982204,0.099228,33.518494,0.000000
2.000000,1.999410,1.979194,0.016992,-0.542079,1.980280,-0.008308,31.524841,0.000000
2.000000,2.000026,1.985641,0.020831,-0.447354,1.984204,0.163422,34.163513,0.000000
2.000000,1.999410,1.980000,0.013769,-0.591356,1.981593,0.011971,31.239563,0.000000
2.000000,2.000026,1.983223,0.020025,-0.457323,1.982765,0.021690,32.081055,0.000000
2.000000,1.999410,1.982418,0.016186,-0.482750,1.982610,0.031364,31.728333,0.000000
2.000000,2.000026,1.981612,0.017608,-0.478656,1.981975,0.000526,31.062195,0.000000
2.000000,1.999410,1.979194,0.017798,-0.452575,1.979933,-0.085228,29.705688,0.000000
2.000000,2.000026,1.983223,0.020831,-0.378555,1.982169,0.070694,31.640991,0.000000
2.000000,1.999410,1.984835,0.016186,-0.496866,1.984427,0.202408,32.389526,0.000000
2.000000,2.000026,1.984029,0.015190,-0.579163,1.984677,0.131271,31.200317,0.000000
2.000000,1.999410,1.981612,0.015381,-0.528206,1.982689,-0.057449,29.223694,0.000000
2.000000,2.000026,1.981612,0.018414,-0.394281,1.981699,-0.102562,29.064453,0.000000
2.000000,1.999410,1.979194,0.017798,-0.368418,1.979634,-0.117668,28.256897,0.000000
2.000000,2.000026,1.983223,0.020831,-0.337608,1.982054,0.089485,30.403687,0.000000
