time,position,ref
8.266666667,0,1.65
8.3,0,1.65
8.333333333,0,1.65
8.366666667,0,1.65
8.4,0,1.65
8.433333333,0,1.65
8.466666667,0,1.65
8.5,0,1.65
8.533333333,0,1.65
8.566666667,0,1.65
8.6,0,1.65
8.633333333,0,1.65
8.666666667,0,1.65
8.7,0,1.65
8.733333333,0,1.65
8.766666667,0,1.65
8.8,0,1.65
8.833333333,0,1.65
8.866666667,0,1.65
8.9,0,1.65
8.933333333,0,1.65
8.966666667,0,1.65
9,0,1.65
9.033333333,0,1.65
9.066666667,0,1.65
9.1,0,1.65
9.133333333,0,1.65
9.166666667,0,1.65
9.2,0,1.65
9.233333333,0,1.65
9.266666667,0,1.65
9.3,0,1.65
9.333333333,0,1.65
9.366666667,0,1.65
9.4,0,1.65
9.433333333,0,1.65
9.466666667,0,1.65
9.5,0,1.65
9.533333333,0,1.65
9.566666667,0,1.65
9.6,0,1.65
9.633333333,0,1.65
9.666666667,0,1.65
9.7,0,1.65
9.733333333,0,1.65
9.766666667,0,1.65
9.8,0,1.65
9.833333333,0,1.65
9.866666667,0,1.65
9.9,0,1.65
9.933333333,0,1.65
9.966666667,0,1.65
10,0,1.65
10.03333333,0,1.65
10.06666667,0,1.65
10.1,0,1.65
10.13333333,0,1.65
10.16666667,0,1.65
10.2,0,1.65
10.23333333,0,1.65
10.26666667,0,1.65
10.3,0,1.65
10.33333333,0,1.65
10.36666667,0,1.65
10.4,0,1.65
10.43333333,0,1.65
10.46666667,0,1.65
10.5,0,1.65
10.53333333,0,1.65
10.56666667,0,1.65
10.6,0,1.65
10.63333333,0,1.65
10.66666667,0,1.65
10.7,0,1.65
10.73333333,0,1.65
10.76666667,0,1.65
10.8,0,1.65
10.83333333,0,1.65
10.86666667,0,1.65
10.9,0,1.65
10.93333333,0,1.65
10.96666667,0,1.65
11,0,1.65
11.03333333,0,1.65
11.06666667,0,1.65
11.1,0,1.65
11.13333333,0,1.65
11.16666667,0,1.65
11.2,0,1.65
11.23333333,0,1.65
11.26666667,0,1.65
11.3,0,1.65
11.33333333,0,1.65
11.36666667,0,1.65
11.4,0,1.65
11.43333333,0,1.65
11.46666667,0,1.65
11.5,0,1.65
11.53333333,0,1.65
11.56666667,0,1.65
11.6,0,1.65
11.63333333,0,1.65
11.66666667,0,1.65
11.7,0,1.65
11.73333333,0,1.65
11.76666667,0,1.65
11.8,0,1.65
11.83333333,0,1.65
11.86666667,0,1.65
11.9,0,1.65
11.93333333,0,1.65
11.96666667,0,1.65
12,0,1.65
12.03333333,0,1.65
12.06666667,0,1.65
12.1,0,1.65
12.13333333,0,1.65
12.16666667,0,1.65
12.2,0,1.65
12.23333333,0,1.65
12.26666667,0,1.65
12.3,0,1.65
12.33333333,0,1.65
12.36666667,0,1.65
12.4,0,1.65
12.43333333,0,1.65
12.46666667,0,1.65
12.5,0,1.65
12.53333333,0,1.65
12.56666667,0,1.65
12.6,0,1.65
12.63333333,0,1.65
12.66666667,0,1.65
12.7,0,1.65
12.73333333,0,1.65
12.76666667,0,1.65
12.8,0,1.65
12.83333333,0,1.65
12.86666667,0,1.65
12.9,0,1.65
12.93333333,0,1.65
12.96666667,0,1.65
13,0,1.65
13.03333333,0,1.65
13.06666667,0,1.65
13.1,0,1.65
13.13333333,0,1.65
13.16666667,0,1.65
13.2,0,1.65
13.23333333,0,1.65
13.26666667,0,1.65
13.3,0,1.65
13.33333333,0,1.65
13.36666667,0,1.65
13.4,0,1.65
13.43333333,0,1.65
13.46666667,0,1.65
13.5,0,1.65
13.53333333,0,1.65
13.56666667,0,1.65
13.6,0,1.65
13.63333333,0,1.65
13.66666667,0,1.65
13.7,0,1.65
13.73333333,0,1.65
13.76666667,0,1.65
13.8,0,1.65
13.83333333,0,1.65
13.86666667,0,1.65
13.9,0,1.65
13.93333333,0,1.65
13.96666667,0,1.65
14,0,1.65
14.03333333,0,1.65
14.06666667,0,1.65
14.1,0,1.65
14.13333333,0,1.65
14.16666667,0,1.65
14.2,0,1.65
14.23333333,0,1.65
14.26666667,0,1.65
14.3,0,1.65
14.33333333,0,1.65
14.36666667,0,1.65
14.4,0,1.65
14.43333333,0,1.65
14.46666667,0,1.65
14.5,0,1.65
14.53333333,0,1.65
14.56666667,0,1.65
14.6,0,1.65
14.63333333,0,1.65
14.66666667,2.56E-05,1.650845126
14.7,0.000115299,1.653804861
14.73333333,0.000205494,1.656781317
14.76666667,0.000295902,1.659764761
14.8,0.000387229,1.66277855
14.83333333,0.000455827,1.665042286
14.86666667,0.000455827,1.665042286
14.9,0.000476756,1.665732932
14.93333333,0.000523233,1.667266685
14.96666667,0.000571991,1.668875718
15,0.000622865,1.670554561
15.03333333,0.000669372,1.672089274
15.06666667,0.000695175,1.672940782
15.1,0.000695175,1.672940782
15.13333333,0.000819294,1.677036708
