ref,transient profile,sensor_data,error,control_signal,ESO 1st order,ESO 2nd order,ESO 3rd order,ESO 4th order
1.000000,1.000223,0.929596,0.069713,0.741867,0.930487,0.122478,-35.799713,0.000000
1.000000,0.999607,0.930536,0.070011,0.796662,0.930900,0.119396,-36.467773,0.000000
1.000000,1.000222,0.929070,0.069686,0.810045,0.929947,0.074089,-38.077332,0.000000
1.000000,0.999606,0.929120,0.070535,0.860031,0.929609,0.072411,-38.975067,0.000000
1.000000,1.000221,0.929029,0.071101,0.879379,0.929476,0.097084,-39.796692,0.000000
1.000000,0.999604,0.928359,0.070576,0.879334,0.929014,0.096939,-40.997986,0.000000
1.000000,1.000219,0.928343,0.071860,0.903468,0.928866,0.102604,-41.957947,0.000000
1.000000,0.999603,0.929089,0.071260,0.914971,0.929400,0.140724,-42.530182,0.000000
1.000000,1.000218,0.928907,0.071130,0.906386,0.929505,0.142067,-43.627808,0.000000
1.000000,0.999602,0.928203,0.070695,0.921328,0.928993,0.101570,-45.078156,0.000000
1.000000,1.000217,0.926823,0.072014,0.969299,0.927727,0.040791,-46.736816,0.000000
1.000000,0.999601,0.928367,0.072778,1.028759,0.928400,0.107952,-46.796112,0.000000
1.000000,1.000216,0.927953,0.071848,0.997068,0.928486,0.142860,-47.775085,0.000000
1.000000,0.999600,0.927640,0.071647,0.993878,0.928330,0.128078,-49.041595,0.000000
1.000000,1.000215,0.928872,0.072574,1.025022,0.929145,0.154755,-49.543915,0.000000
1.000000,0.999598,0.929721,0.070727,1.015133,0.930072,0.184322,-50.187958,0.000000
1.000000,1.000213,0.930228,0.070492,1.010406,0.930750,0.179558,-51.145508,0.000000
1.000000,0.999597,0.929674,0.069369,1.023817,0.930487,0.123676,-52.637268,0.000000
1.000000,1.000212,0.929334,0.070538,1.078982,0.930014,0.079472,-53.884949,0.000000
1.000000,0.999596,0.928668,0.070262,1.120603,0.929309,0.060463,-55.062500,0.000000
1.000000,1.000211,0.927690,0.071543,1.154366,0.928370,0.049580,-56.310944,0.000000
1.000000,0.999595,0.928051,0.071905,1.181645,0.928375,0.093273,-56.905487,0.000000
1.000000,1.000210,0.928877,0.072158,1.172722,0.929115,0.158703,-57.341888,0.000000
1.000000,0.999594,0.928563,0.070717,1.143288,0.929230,0.156662,-58.566742,0.000000
1.000000,1.000209,0.928497,0.071645,1.166561,0.929169,0.124973,-59.799194,0.000000
1.000000,0.999592,0.928185,0.071095,1.200339,0.928841,0.096687,-61.003235,0.000000
1.000000,1.000207,0.928226,0.072023,1.237614,0.928724,0.098057,-61.917511,0.000000
1.000000,0.999591,0.928285,0.071366,1.250317,0.928757,0.115509,-62.784760,0.000000
1.000000,1.000206,0.928011,0.071922,1.258517,0.928607,0.115639,-63.879578,0.000000
1.000000,0.999590,0.928123,0.071579,1.274954,0.928643,0.119534,-64.835175,0.000000
1.000000,1.000205,0.928958,0.072083,1.291169,0.929283,0.150265,-65.430054,0.000000
1.000000,0.999589,0.929234,0.070630,1.281522,0.929736,0.160583,-66.352570,0.000000
1.000000,1.000204,0.928173,0.070970,1.292514,0.929076,0.103069,-68.011078,0.000000
1.000000,0.999588,0.928359,0.071415,1.348118,0.928881,0.086449,-68.969208,0.000000
1.000000,1.000203,0.927430,0.071843,1.375159,0.928130,0.069790,-70.254181,0.000000
1.000000,0.999586,0.927140,0.072157,1.405134,0.927681,0.077274,-71.247131,0.000000
1.000000,1.000201,0.928849,0.073062,1.422056,0.928860,0.163517,-71.267639,0.000000
1.000000,0.999585,0.929727,0.070736,1.373980,0.930052,0.217136,-71.864288,0.000000
1.000000,1.000200,0.929190,0.070474,1.355846,0.930058,0.164421,-73.458221,0.000000
1.000000,0.999584,0.929011,0.070394,1.405556,0.929757,0.101673,-74.826324,0.000000
1.000000,1.000199,0.928572,0.071188,1.462122,0.929212,0.069550,-76.000641,0.000000
1.000000,0.999583,0.928227,0.071011,1.496952,0.928760,0.073364,-76.978546,0.000000
1.000000,1.000198,0.928711,0.071970,1.515408,0.929025,0.117485,-77.556213,0.000000
1.000000,0.999582,0.930400,0.070871,1.500405,0.930466,0.199474,-77.677521,0.000000
1.000000,1.000197,0.929591,0.069797,1.459704,0.930440,0.167171,-79.235992,0.000000
1.000000,1.000196,0.929668,0.071094,1.562556,0.930055,0.095936,-81.477386,0.000000
1.000000,0.999579,0.930691,0.069911,1.572303,0.930879,0.151371,-81.823181,0.000000
1.000000,1.000194,0.931241,0.069503,1.550488,0.931648,0.180458,-82.569794,0.000000
1.000000,0.999578,0.935305,0.068337,1.543680,0.934907,0.296722,-81.838104,0.000000
1.000000,1.000193,0.943384,0.064888,1.465378,0.942043,0.543037,-79.375458,0.000000
1.000000,0.999577,0.952842,0.056193,1.276209,0.951510,0.767258,-76.931061,0.000000
1.000000,1.000192,0.963583,0.047350,1.093901,0.962393,0.888187,-74.746246,0.000000
1.000000,0.999576,0.972192,0.035992,0.955915,0.971798,0.820457,-74.023560,0.000000
1.000000,1.000191,0.980090,0.027999,0.943643,0.979822,0.667202,-73.532501,0.000000
1.000000,0.999575,0.986130,0.019485,0.977131,0.985983,0.500637,-73.263031,0.000000
1.000000,1.000190,0.989811,0.014060,1.032351,0.989911,0.329018,-73.447296,0.000000
1.000000,0.999573,0.992997,0.009762,1.101328,0.992890,0.219734,-73.250732,0.000000
1.000000,1.000188,0.995426,0.007192,1.142010,0.995238,0.167397,-72.904968,0.000000
1.000000,0.999572,0.997825,0.004146,1.150428,0.997526,0.159149,-72.355804,0.000000
1.000000,1.000187,0.998711,0.002362,1.138989,0.998770,0.115395,-72.463715,0.000000
1.000000,0.999571,0.999521,0.000860,1.154959,0.999570,0.066036,-72.553284,0.000000
1.000000,1.000186,1.000621,0.000665,1.179614,1.000477,0.052250,-72.288788,0.000000
1.000000,0.999570,1.000897,-0.001051,1.176157,1.000903,0.035896,-72.300720,0.000000
1.000000,1.000185,1.002890,-0.000712,1.184967,1.002445,0.077522,-71.483490,0.000000
1.000000,0.999569,1.003443,-0.003322,1.143135,1.003380,0.081688,-71.367310,0.000000
1.000000,1.000184,1.004463,-0.003260,1.137987,1.004356,0.066509,-71.170258,0.000000
1.000000,0.999567,1.004551,-0.004896,1.136068,1.004632,0.024734,-71.320709,0.000000
1.000000,1.000182,1.003887,-0.004368,1.160036,1.004100,-0.038136,-71.711243,0.000000
1.000000,0.999566,1.003423,-0.004321,1.196618,1.003469,-0.068012,-71.795258,0.000000
1.000000,1.000181,1.004043,-0.003242,1.217131,1.003714,-0.026802,-71.191986,0.000000
1.000000,0.999565,1.004505,-0.004478,1.183927,1.004252,0.023399,-70.727417,0.000000
1.000000,1.000180,1.003903,-0.004325,1.152212,1.004055,0.003696,-71.006195,0.000000
1.000000,0.999564,1.005240,-0.004339,1.164810,1.004915,0.025970,-70.409241,0.000000
1.000000,1.000179,1.004868,-0.005061,1.143174,1.004937,0.008820,-70.536407,0.000000
1.000000,0.999563,1.004070,-0.005305,1.151190,1.004289,-0.042702,-70.937836,0.000000
1.000000,1.000178,1.003802,-0.003893,1.187519,1.003789,-0.062893,-70.914459,0.000000
1.000000,0.999561,1.003294,-0.004240,1.196453,1.003261,-0.057484,-70.852600,0.000000
1.000000,1.000176,1.002437,-0.003118,1.197094,1.002511,-0.060463,-70.987091,0.000000
1.000000,0.999560,1.002649,-0.002877,1.201278,1.002465,-0.029327,-70.649078,0.000000
1.000000,1.000175,1.003057,-0.002474,1.183074,1.002844,0.011681,-70.257538,0.000000
1.000000,0.999559,1.003130,-0.003498,1.152996,1.003093,0.022423,-70.190887,0.000000
1.000000,1.000174,1.003822,-0.002956,1.148063,1.003676,0.029903,-69.922211,0.000000
1.000000,0.999558,1.003494,-0.004264,1.135475,1.003603,0.003227,-70.121918,0.000000
1.000000,1.000173,1.003077,-0.003321,1.154275,1.003193,-0.034641,-70.334412,0.000000
1.000000,0.999557,1.003874,-0.003520,1.175349,1.003591,-0.009644,-69.814606,0.000000
1.000000,1.000172,1.003073,-0.003703,1.155415,1.003188,-0.020214,-70.026978,0.000000
1.000000,0.999555,1.003036,-0.003517,1.163263,1.003011,-0.026012,-69.981934,0.000000
1.000000,1.000170,1.002625,-0.002865,1.168286,1.002652,-0.033722,-70.032318,0.000000
1.000000,0.999554,1.002684,-0.003071,1.171886,1.002587,-0.021812,-69.854218,0.000000
1.000000,1.000169,1.003757,-0.002515,1.165713,1.003401,0.028519,-69.200317,0.000000
1.000000,0.999553,1.002864,-0.004204,1.125127,1.003085,0.004993,-69.605530,0.000000
1.000000,1.000168,1.003686,-0.002696,1.146741,1.003513,0.004829,-69.287903,0.000000
1.000000,0.999552,1.004356,-0.004134,1.137611,1.004141,0.026897,-68.894165,0.000000
1.000000,1.000167,1.003279,-0.004189,1.120332,1.003561,-0.019505,-69.411499,0.000000
1.000000,0.999551,1.002389,-0.003728,1.151247,1.002611,-0.073418,-69.818298,0.000000
1.000000,1.000166,1.002982,-0.002224,1.189953,1.002682,-0.043297,-69.269287,0.000000
1.000000,0.999550,1.004504,-0.003432,1.163666,1.003945,0.051167,-68.243683,0.000000
1.000000,1.000165,1.004115,-0.004339,1.098487,1.004221,0.050797,-68.439575,0.000000
1.000000,0.999548,1.004033,-0.004566,1.098585,1.004178,0.003899,-68.705017,0.000000
1.000000,1.000163,1.003016,-0.003870,1.128144,1.003288,-0.063065,-69.203156,0.000000
1.000000,0.999547,1.002901,-0.003469,1.169840,1.002815,-0.069134,-69.045349,0.000000
1.000000,1.000162,1.002694,-0.002739,1.174222,1.002558,-0.041775,-68.795990,0.000000
1.000000,0.999546,1.002921,-0.003148,1.155496,1.002738,-0.002357,-68.460358,0.000000
1.000000,1.000161,1.002764,-0.002760,1.132483,1.002760,0.005077,-68.452759,0.000000
1.000000,0.999545,1.002789,-0.003220,1.126367,1.002786,-0.001122,-68.447510,0.000000
1.000000,1.000160,1.002928,-0.002630,1.131484,1.002875,-0.004581,-68.349548,0.000000
1.000000,0.999544,1.002985,-0.003385,1.128881,1.002937,-0.004288,-68.260620,0.000000
1.000000,1.000159,1.003458,-0.002826,1.129332,1.003303,0.009262,-67.974518,0.000000
1.000000,0.999542,1.003787,-0.003916,1.114331,1.003681,0.019695,-67.778870,0.000000
1.000000,1.000157,1.003943,-0.003630,1.106916,1.003911,0.012497,-67.720490,0.000000
1.000000,0.999541,1.004131,-0.004402,1.106246,1.004086,0.003223,-67.639557,0.000000
1.000000,1.000156,1.002975,-0.003974,1.111029,1.003252,-0.049007,-68.147278,0.000000
1.000000,0.999540,1.002113,-0.003435,1.145555,1.002259,-0.085724,-68.415222,0.000000
1.000000,1.000155,1.002518,-0.001958,1.173799,1.002230,-0.046249,-67.885956,0.000000
1.000000,0.999539,1.002618,-0.002980,1.143694,1.002429,0.003170,-67.538879,0.000000
1.000000,1.000154,1.002707,-0.002464,1.115585,1.002655,0.019318,-67.443604,0.000000
1.000000,0.999538,1.002561,-0.003169,1.103034,1.002627,0.004066,-67.564636,0.000000
1.000000,1.000153,1.002650,-0.002409,1.114832,1.002634,-0.009521,-67.535675,0.000000
1.000000,0.999536,1.002597,-0.003114,1.118579,1.002572,-0.014088,-67.489319,0.000000
1.000000,1.000151,1.002174,-0.002446,1.122555,1.002233,-0.027615,-67.598175,0.000000
