ref,transient profile,sensor_data,error,control_signal,ESO 1st order,ESO 2nd order,ESO 3rd order,ESO 4th order
1.000000,1.000290,1.000564,-0.000273,-0.060934,1.000658,0.011517,3.239319,0.000000
1.000000,0.999674,1.000443,-0.000768,-0.050780,1.000514,-0.008656,3.108948,0.000000
1.000000,1.000290,1.000246,0.000044,-0.041422,1.000286,-0.018921,3.034912,0.000000
1.000000,0.999674,1.000203,-0.000529,-0.045965,1.000176,-0.015163,3.084656,0.000000
1.000000,1.000289,0.999802,0.000487,-0.039472,0.999868,-0.017296,2.964722,0.000000
1.000000,0.999673,0.999869,-0.000196,-0.046598,0.999827,-0.009682,3.042053,0.000000
1.000000,1.000288,0.999905,0.000383,-0.051128,0.999869,0.001835,3.108795,0.000000
1.000000,0.999672,0.999840,-0.000168,-0.053468,0.999857,0.003025,3.078857,0.000000
1.000000,1.000288,0.999713,0.000574,-0.046843,0.999759,-0.002270,2.995361,0.000000
1.000000,0.999672,0.999816,-0.000144,-0.050420,0.999793,-0.001385,3.038116,0.000000
1.000000,1.000287,0.999773,0.000514,-0.048873,0.999778,0.000607,3.029297,0.000000
1.000000,0.999671,0.999755,-0.000084,-0.050482,0.999763,-0.000237,3.015167,0.000000
1.000000,1.000286,0.999741,0.000545,-0.048082,0.999747,0.000095,3.003357,0.000000
1.000000,0.999670,0.999717,-0.000046,-0.049481,0.999725,-0.001106,2.988708,0.000000
1.000000,1.000285,0.999606,0.000679,-0.044809,0.999636,-0.003433,2.934296,0.000000
1.000000,0.999669,0.999721,-0.000052,-0.050022,0.999690,0.000164,2.992004,0.000000
1.000000,1.000285,0.999808,0.000477,-0.052053,0.999782,0.006794,3.039276,0.000000
1.000000,0.999669,1.000412,-0.000744,-0.069550,1.000267,0.025257,3.305939,0.000000
1.000000,1.000284,1.000605,-0.000321,-0.071237,1.000586,0.029812,3.341736,0.000000
1.000000,0.999668,1.000276,-0.000608,-0.055723,1.000423,0.003525,3.071259,0.000000
1.000000,1.000283,1.000332,-0.000049,-0.045834,1.000350,-0.010490,3.039337,0.000000
1.000000,0.999667,1.000453,-0.000785,-0.052263,1.000396,-0.005951,3.144531,0.000000
1.000000,1.000283,0.999963,0.000320,-0.041386,1.000065,-0.014660,2.957336,0.000000
1.000000,0.999667,0.999990,-0.000323,-0.044535,0.999969,-0.013474,2.994720,0.000000
1.000000,1.000282,1.000103,0.000179,-0.050710,1.000040,-0.000435,3.109680,0.000000
1.000000,0.999666,0.999685,-0.000019,-0.045460,0.999781,-0.007938,2.931824,0.000000
1.000000,1.000281,0.999582,0.000699,-0.039335,0.999612,-0.012627,2.876862,0.000000
1.000000,0.999665,1.000021,-0.000356,-0.055844,0.999884,0.005970,3.128143,0.000000
1.000000,1.000280,1.000140,0.000140,-0.061913,1.000100,0.019073,3.202240,0.000000
1.000000,0.999664,1.000110,-0.000445,-0.059677,1.000155,0.012100,3.119354,0.000000
1.000000,1.000280,1.000179,0.000101,-0.053105,1.000196,0.004066,3.087128,0.000000
1.000000,0.999664,1.000259,-0.000595,-0.054421,1.000247,0.000877,3.108521,0.000000
1.000000,1.000279,1.000305,-0.000026,-0.053176,1.000292,0.001862,3.133698,0.000000
1.000000,0.999663,1.000248,-0.000585,-0.053564,1.000263,-0.000954,3.106476,0.000000
1.000000,1.000278,1.000722,-0.000444,-0.063237,1.000600,0.013466,3.331451,0.000000
1.000000,0.999662,1.000775,-0.001112,-0.067685,1.000766,0.016056,3.347107,0.000000
1.000000,1.000278,1.000510,-0.000232,-0.053425,1.000612,-0.000988,3.158844,0.000000
1.000000,0.999662,1.000112,-0.000450,-0.039695,1.000228,-0.023827,2.945221,0.000000
1.000000,1.000277,1.000102,0.000175,-0.038560,1.000070,-0.022217,3.004395,0.000000
1.000000,0.999661,0.999883,-0.000222,-0.043390,0.999882,-0.015579,3.005402,0.000000
1.000000,1.000276,1.000008,0.000268,-0.050510,0.999944,-0.000595,3.122559,0.000000
1.000000,0.999660,1.000116,-0.000456,-0.059448,1.000077,0.009605,3.194580,0.000000
1.000000,1.000275,1.000318,-0.000042,-0.061995,1.000283,0.015823,3.259186,0.000000
1.000000,0.999659,1.000272,-0.000612,-0.059398,1.000312,0.007992,3.185364,0.000000
