ref,transient profile,sensor_data,error,control_signal,ESO 1st order,ESO 2nd order,ESO 3rd order,ESO 4th order
1.000000,1.000550,3.297582,-2.297033,-3.300000,3.296866,-0.050789,332.187988,0.000000
1.000000,0.999933,3.299194,-2.297649,-3.300000,3.298413,0.018158,333.621582,0.000000
1.000000,1.000548,3.295971,-2.298646,-3.300000,3.296623,-0.090858,332.425293,0.000000
1.000000,0.999932,3.295971,-2.296039,-3.300000,3.295859,-0.110451,332.629517,0.000000
1.000000,1.000547,3.296777,-2.295424,-3.300000,3.296211,-0.066666,333.666992,0.000000
1.000000,0.999931,3.297582,-2.296845,-3.300000,3.297027,-0.013054,334.685425,0.000000
1.000000,1.000546,3.296777,-2.297036,-3.300000,3.296794,-0.026230,334.654053,0.000000
1.000000,0.999930,3.296777,-2.296847,-3.300000,3.296698,-0.027122,334.797729,0.000000
1.000000,1.000545,3.299194,-2.296232,-3.300000,3.298464,0.060341,336.138550,0.000000
1.000000,0.999929,3.294359,-2.299265,-3.300000,3.295584,-0.099663,333.889404,0.000000
1.000000,1.000544,3.298388,-2.293815,-3.300000,3.297377,0.015259,335.745972,0.000000
1.000000,0.999927,3.295971,-2.298461,-3.300000,3.296375,-0.038361,335.003174,0.000000
1.000000,1.000542,3.297582,-2.295428,-3.300000,3.297159,0.009773,335.780273,0.000000
1.000000,0.999926,3.298388,-2.297656,-3.300000,3.298095,0.049210,336.317871,0.000000
1.000000,1.000541,3.298388,-2.297847,-3.300000,3.298446,0.046303,336.211426,0.000000
1.000000,0.999925,3.299194,-2.298463,-3.300000,3.299125,0.059135,336.338501,0.000000
1.000000,1.000540,3.297582,-2.298654,-3.300000,3.298141,-0.011230,335.312988,0.000000
1.000000,0.999924,3.295165,-2.297658,-3.300000,3.295899,-0.115395,333.964478,0.000000
1.000000,1.000539,3.296777,-2.294626,-3.300000,3.296225,-0.061012,334.976807,0.000000
1.000000,0.999923,3.293553,-2.296854,-3.300000,3.294078,-0.138588,334.013550,0.000000
1.000000,1.000538,3.298388,-2.293015,-3.300000,3.296889,0.044113,336.766113,0.000000
1.000000,0.999921,3.293553,-2.298467,-3.300000,3.294547,-0.077156,334.941528,0.000000
1.000000,1.000536,3.298388,-2.293017,-3.300000,3.297181,0.075348,337.157227,0.000000
1.000000,0.999920,3.296777,-2.298468,-3.300000,3.297096,0.047768,336.570068,0.000000
1.000000,1.000535,3.291941,-2.296241,-3.300000,3.293411,-0.141235,333.872314,0.000000
1.000000,0.999919,3.298388,-2.292022,-3.300000,3.296707,0.064171,336.958374,0.000000
1.000000,1.000534,3.296777,-2.297854,-3.300000,3.296942,0.055504,336.653931,0.000000
1.000000,0.999918,3.299194,-2.296859,-3.300000,3.298766,0.121574,337.440186,0.000000
1.000000,1.000533,3.298388,-2.298661,-3.300000,3.298822,0.079796,336.643555,0.000000
1.000000,0.999917,3.296777,-2.298471,-3.300000,3.297523,-0.012505,335.272461,0.000000
1.000000,1.000532,3.295971,-2.296245,-3.300000,3.296332,-0.067421,334.608887,0.000000
1.000000,0.999915,3.296777,-2.296055,-3.300000,3.296471,-0.038704,335.169800,0.000000
1.000000,1.000530,3.298388,-2.296246,-3.300000,3.297783,0.036041,336.280884,0.000000
1.000000,0.999914,3.297582,-2.298474,-3.300000,3.297734,0.020927,336.001465,0.000000
1.000000,1.000529,3.298388,-2.297053,-3.300000,3.298275,0.037392,336.209717,0.000000
1.000000,0.999913,3.298388,-2.298475,-3.300000,3.298460,0.031494,336.076782,0.000000
1.000000,1.000528,3.298388,-2.297860,-3.300000,3.298491,0.019531,335.888306,0.000000
1.000000,0.999912,3.296777,-2.298476,-3.300000,3.297272,-0.046501,334.979248,0.000000
1.000000,1.000527,3.298388,-2.296250,-3.300000,3.297966,0.000549,335.754028,0.000000
1.000000,0.999911,3.297582,-2.298478,-3.300000,3.297683,-0.013367,335.570068,0.000000
1.000000,1.000526,3.295971,-2.297057,-3.300000,3.296376,-0.070610,334.826538,0.000000
1.000000,0.999910,3.298388,-2.296061,-3.300000,3.297670,0.015274,336.144043,0.000000
1.000000,1.000525,3.299194,-2.297864,-3.300000,3.298843,0.065689,336.787842,0.000000
1.000000,0.999908,3.299194,-2.299286,-3.300000,3.299286,0.063026,336.619263,0.000000
1.000000,1.000523,3.295971,-2.298671,-3.300000,3.297002,-0.067963,334.725586,0.000000
1.000000,0.999907,3.295971,-2.296063,-3.300000,3.296046,-0.090065,334.586548,0.000000
1.000000,1.000522,3.298388,-2.295449,-3.300000,3.297532,0.012001,336.158936,0.000000
1.000000,0.999906,3.295971,-2.298482,-3.300000,3.296412,-0.042686,335.348877,0.000000
1.000000,1.000521,3.299194,-2.295450,-3.300000,3.298356,0.064255,336.887939,0.000000
1.000000,0.999905,3.296777,-2.299289,-3.300000,3.297367,-0.003311,335.803833,0.000000
1.000000,1.000520,3.295971,-2.296257,-3.300000,3.296323,-0.051384,335.157593,0.000000
1.000000,0.999904,3.295971,-2.296067,-3.300000,3.295920,-0.051178,335.250122,0.000000
1.000000,1.000519,3.296777,-2.295452,-3.300000,3.296415,-0.008194,335.913818,0.000000
1.000000,0.999902,3.299194,-2.296874,-3.300000,3.298455,0.092468,337.270630,0.000000
1.000000,1.000517,3.297582,-2.298677,-3.300000,3.298067,0.042458,336.380249,0.000000
1.000000,0.999901,3.297582,-2.297681,-3.300000,3.297825,0.015099,335.935303,0.000000
1.000000,1.000516,3.299194,-2.297066,-3.300000,3.298879,0.057678,336.513916,0.000000
1.000000,0.999900,3.295165,-2.299294,-3.300000,3.296286,-0.085342,334.456055,0.000000
1.000000,1.000515,3.299194,-2.294650,-3.300000,3.298200,0.032692,336.281250,0.000000
1.000000,0.999899,3.297582,-2.299295,-3.300000,3.297834,0.004410,335.819214,0.000000
1.000000,1.000514,3.297582,-2.297069,-3.300000,3.297658,-0.006470,335.680420,0.000000
1.000000,0.999898,3.298388,-2.297685,-3.300000,3.298180,0.019760,336.062500,0.000000
1.000000,1.000513,3.297582,-2.297876,-3.300000,3.297791,-0.006172,335.679443,0.000000
1.000000,0.999896,3.298388,-2.297686,-3.300000,3.298215,0.015167,335.997192,0.000000
1.000000,1.000511,3.297582,-2.297877,-3.300000,3.297787,-0.010986,335.621094,0.000000
1.000000,0.999895,3.293553,-2.297687,-3.300000,3.294619,-0.155823,333.664185,0.000000
1.000000,1.000510,3.297582,-2.293043,-3.300000,3.296381,-0.017487,335.868164,0.000000
1.000000,0.999894,3.294359,-2.297688,-3.300000,3.294841,-0.079651,334.983521,0.000000
1.000000,1.000509,3.299194,-2.293850,-3.300000,3.297849,0.092056,337.453125,0.000000
1.000000,0.999893,3.294359,-2.299301,-3.300000,3.295526,-0.045853,335.311768,0.000000
1.000000,1.000508,3.297582,-2.293851,-3.300000,3.296923,0.036598,336.522217,0.000000
1.000000,0.999892,3.299194,-2.297691,-3.300000,3.298711,0.109398,337.409302,0.000000
1.000000,1.000507,3.296777,-2.298687,-3.300000,3.297582,0.017632,335.930420,0.000000
1.000000,0.999890,3.296777,-2.296886,-3.300000,3.297032,-0.016052,335.462280,0.000000
1.000000,1.000505,3.296777,-2.296271,-3.300000,3.296796,-0.022629,335.426758,0.000000
1.000000,0.999889,3.298388,-2.296887,-3.300000,3.297912,0.037354,336.300903,0.000000
1.000000,1.000504,3.299194,-2.297884,-3.300000,3.298965,0.072838,336.721558,0.000000
1.000000,0.999888,3.295971,-2.299306,-3.300000,3.296947,-0.048836,334.929321,0.000000
1.000000,1.000503,3.297582,-2.295468,-3.300000,3.297278,-0.018311,335.488281,0.000000
1.000000,0.999887,3.296777,-2.297696,-3.300000,3.296855,-0.031784,335.343994,0.000000
1.000000,1.000502,3.298388,-2.296275,-3.300000,3.297902,0.028183,336.236572,0.000000
1.000000,0.999886,3.298388,-2.298502,-3.300000,3.298341,0.039024,336.322876,0.000000
1.000000,1.000501,3.295971,-2.297888,-3.300000,3.296692,-0.052963,334.998535,0.000000
1.000000,0.999884,3.297582,-2.296086,-3.300000,3.297203,-0.011002,335.694946,0.000000
1.000000,1.000499,3.297582,-2.297083,-3.300000,3.297454,0.005020,335.930542,0.000000
1.000000,0.999883,3.299194,-2.297699,-3.300000,3.298758,0.064613,336.731567,0.000000
1.000000,1.000498,3.296777,-2.298696,-3.300000,3.297469,-0.019127,335.460449,0.000000
1.000000,0.999882,3.298388,-2.296895,-3.300000,3.298095,0.015747,335.999268,0.000000
1.000000,1.000497,3.298388,-2.297891,-3.300000,3.298355,0.021660,336.060669,0.000000
1.000000,0.999881,3.298388,-2.298507,-3.300000,3.298438,0.016998,335.968628,0.000000
1.000000,1.000496,3.299194,-2.297892,-3.300000,3.299043,0.037781,336.245850,0.000000
1.000000,0.999880,3.296777,-2.299314,-3.300000,3.297467,-0.050751,334.978638,0.000000
1.000000,1.000495,3.297582,-2.296282,-3.300000,3.297408,-0.037193,335.298218,0.000000
1.000000,0.999879,3.297582,-2.297704,-3.300000,3.297434,-0.022591,335.570435,0.000000
1.000000,1.000494,3.298388,-2.297089,-3.300000,3.298079,0.015968,336.138550,0.000000
1.000000,0.999877,3.298388,-2.298511,-3.300000,3.298353,0.023827,336.202148,0.000000
1.000000,1.000492,3.295971,-2.297896,-3.300000,3.296654,-0.064392,334.947510,0.000000
1.000000,0.999876,3.298388,-2.296094,-3.300000,3.297760,0.010330,336.100952,0.000000
1.000000,1.000491,3.296777,-2.297897,-3.300000,3.297062,-0.024872,335.576904,0.000000
1.000000,0.999875,3.293553,-2.296902,-3.300000,3.294395,-0.139923,334.031738,0.000000
1.000000,1.000490,3.299194,-2.293063,-3.300000,3.297564,0.059853,337.023926,0.000000
1.000000,0.999874,3.296777,-2.299320,-3.300000,3.297154,0.023346,336.331421,0.000000
1.000000,1.000489,3.297582,-2.296288,-3.300000,3.297538,0.033989,336.413208,0.000000
1.000000,0.999873,3.296777,-2.297710,-3.300000,3.297070,0.000923,335.874512,0.000000
1.000000,1.000488,3.295165,-2.296289,-3.300000,3.295661,-0.065269,334.963257,0.000000
1.000000,0.999871,3.296777,-2.295293,-3.300000,3.296308,-0.010918,335.824341,0.000000
1.000000,1.000486,3.298388,-2.296290,-3.300000,3.297822,0.065567,336.864624,0.000000
1.000000,0.999870,3.296777,-2.298518,-3.300000,3.297232,0.015892,336.028809,0.000000
1.000000,1.000485,3.296777,-2.296291,-3.300000,3.296938,-0.004128,335.732910,0.000000
1.000000,0.999869,3.299194,-2.296907,-3.300000,3.298598,0.074867,336.827881,0.000000
1.000000,1.000484,3.294359,-2.298710,-3.300000,3.295665,-0.089554,334.430786,0.000000
1.000000,0.999868,3.299194,-2.294491,-3.300000,3.298028,0.051666,336.570923,0.000000
1.000000,1.000483,3.298388,-2.298711,-3.300000,3.298440,0.053070,336.476807,0.000000
1.000000,0.999867,3.297582,-2.298522,-3.300000,3.297950,0.010147,335.801636,0.000000
1.000000,1.000482,3.299194,-2.297101,-3.300000,3.298897,0.048782,336.347900,0.000000
1.000000,0.999865,3.295971,-2.299329,-3.300000,3.296862,-0.065308,334.711670,0.000000
1.000000,1.000480,3.296777,-2.295490,-3.300000,3.296614,-0.055824,335.010864,0.000000
1.000000,0.999864,3.297582,-2.296912,-3.300000,3.297176,-0.009315,335.755981,0.000000
1.000000,1.000479,3.296777,-2.297103,-3.300000,3.296855,-0.020332,335.611084,0.000000
1.000000,0.999863,3.296777,-2.296914,-3.300000,3.296742,-0.017609,335.674805,0.000000
1.000000,1.000478,3.296777,-2.296299,-3.300000,3.296720,-0.011505,335.778442,0.000000
1.000000,0.999862,3.294359,-2.296915,-3.300000,3.294941,-0.089272,334.709595,0.000000
1.000000,1.000477,3.299194,-2.293882,-3.300000,3.297846,0.079849,337.184204,0.000000
1.000000,0.999861,3.295971,-2.299334,-3.300000,3.296684,-0.000206,335.875732,0.000000
1.000000,1.000476,3.296777,-2.295495,-3.300000,3.296752,0.003082,335.921021,0.000000
1.000000,0.999859,3.296777,-2.296917,-3.300000,3.296780,0.004105,335.914673,0.000000
1.000000,1.000474,3.296777,-2.296302,-3.300000,3.296789,0.003380,335.890991,0.000000
1.000000,0.999858,3.296777,-2.296918,-3.300000,3.296790,0.002701,335.866089,0.000000
1.000000,1.000473,3.296777,-2.296303,-3.300000,3.296788,0.001701,335.845581,0.000000
1.000000,0.999857,3.297582,-2.296919,-3.300000,3.297381,0.029182,336.214111,0.000000
1.000000,1.000472,3.296777,-2.297110,-3.300000,3.297014,0.001434,335.777832,0.000000
1.000000,0.999856,3.296777,-2.296921,-3.300000,3.296842,-0.007607,335.658691,0.000000
1.000000,1.000471,3.296777,-2.296306,-3.300000,3.296772,-0.008614,335.668091,0.000000
1.000000,0.999855,3.295971,-2.296922,-3.300000,3.296154,-0.034294,335.330811,0.000000
1.000000,1.000470,3.298388,-2.295501,-3.300000,3.297714,0.050972,336.568604,0.000000
1.000000,0.999853,3.297582,-2.298535,-3.300000,3.297759,0.035591,336.243896,0.000000
1.000000,1.000468,3.296777,-2.297114,-3.300000,3.297128,-0.007698,335.598022,0.000000
1.000000,0.999852,3.297582,-2.296924,-3.300000,3.297441,0.008705,335.856445,0.000000
1.000000,1.000467,3.294359,-2.297115,-3.300000,3.295181,-0.100899,334.347656,0.000000
1.000000,0.999851,3.299194,-2.294508,-3.300000,3.297873,0.060883,336.772217,0.000000
1.000000,1.000466,3.297582,-2.298728,-3.300000,3.297829,0.038437,336.319092,0.000000
1.000000,0.999850,3.298388,-2.297732,-3.300000,3.298349,0.048424,336.390869,0.000000
1.000000,1.000465,3.295971,-2.297923,-3.300000,3.296720,-0.046494,335.016479,0.000000
1.000000,0.999849,3.299194,-2.296122,-3.300000,3.298421,0.048225,336.435547,0.000000
1.000000,1.000464,3.296777,-2.298730,-3.300000,3.297336,-0.020279,335.408691,0.000000
1.000000,0.999848,3.299194,-2.296929,-3.300000,3.298654,0.047234,336.400513,0.000000
1.000000,1.000463,3.296777,-2.298732,-3.300000,3.297393,-0.029572,335.269409,0.000000
1.000000,0.999846,3.295971,-2.296930,-3.300000,3.296255,-0.073730,334.748291,0.000000
1.000000,1.000461,3.294359,-2.295509,-3.300000,3.294645,-0.122993,334.223267,0.000000
1.000000,0.999845,3.296777,-2.294514,-3.300000,3.295886,-0.019188,335.858887,0.000000
1.000000,1.000460,3.299194,-2.296316,-3.300000,3.298289,0.103477,337.520508,0.000000
1.000000,0.999844,3.297582,-2.299350,-3.300000,3.298057,0.058014,336.649292,0.000000
1.000000,1.000459,3.299194,-2.297123,-3.300000,3.299059,0.083435,336.896606,0.000000
1.000000,0.999843,3.292747,-2.299351,-3.300000,3.294613,-0.155487,333.471191,0.000000
1.000000,1.000458,3.297582,-2.292289,-3.300000,3.296377,-0.019318,335.682861,0.000000
1.000000,0.999842,3.296777,-2.297741,-3.300000,3.296623,0.001495,335.963867,0.000000
1.000000,1.000457,3.295971,-2.296320,-3.300000,3.296146,-0.020203,335.642090,0.000000
