ref,transient profile,sensor_data,error,control_signal,ESO 1st order,ESO 2nd order,ESO 3rd order,ESO 4th order
1.000000,0.999555,1.026760,-0.027357,-0.996646,1.026419,-0.099411,57.077515,0.000000
1.000000,1.000170,1.026829,-0.026589,-1.001676,1.026409,-0.086735,57.848785,0.000000
1.000000,0.999554,1.026973,-0.027274,-1.022928,1.026552,-0.068771,58.621307,0.000000
1.000000,1.000169,1.026515,-0.026804,-1.042719,1.026290,-0.082348,59.034607,0.000000
1.000000,0.999553,1.026963,-0.026962,-1.044371,1.026509,-0.072762,59.868530,0.000000
1.000000,1.000168,1.026678,-0.026795,-1.061419,1.026388,-0.078072,60.399811,0.000000
1.000000,0.999552,1.026767,-0.027126,-1.069565,1.026404,-0.078136,61.067413,0.000000
1.000000,1.000167,1.026636,-0.026600,-1.078412,1.026312,-0.082008,61.662231,0.000000
1.000000,0.999551,1.026644,-0.027086,-1.088423,1.026285,-0.080296,62.320007,0.000000
1.000000,1.000166,1.026649,-0.026478,-1.097806,1.026287,-0.077835,62.984558,0.000000
1.000000,0.999550,1.026852,-0.027100,-1.112389,1.026446,-0.068119,63.729523,0.000000
1.000000,1.000165,1.026927,-0.026688,-1.127790,1.026566,-0.066071,64.392120,0.000000
1.000000,0.999548,1.026770,-0.027378,-1.142582,1.026483,-0.076210,64.919434,0.000000
1.000000,1.000163,1.027142,-0.026607,-1.143855,1.026705,-0.070469,65.720520,0.000000
1.000000,0.999547,1.027237,-0.027594,-1.163125,1.026858,-0.064762,66.415771,0.000000
1.000000,1.000162,1.027203,-0.027075,-1.175739,1.026881,-0.071754,67.006775,0.000000
1.000000,0.999546,1.027057,-0.027657,-1.184604,1.026758,-0.083302,67.554230,0.000000
1.000000,1.000161,1.027081,-0.026896,-1.185382,1.026714,-0.085964,68.226837,0.000000
1.000000,0.999545,1.026660,-0.027536,-1.197451,1.026393,-0.095207,68.716949,0.000000
1.000000,1.000160,1.026662,-0.026500,-1.197641,1.026284,-0.092289,69.411041,0.000000
1.000000,0.999544,1.026755,-0.027118,-1.212520,1.026341,-0.077248,70.170227,0.000000
1.000000,1.000159,1.026429,-0.026597,-1.230353,1.026152,-0.082073,70.678925,0.000000
1.000000,0.999542,1.026594,-0.026886,-1.238098,1.026205,-0.077309,71.391907,0.000000
1.000000,1.000157,1.026612,-0.026436,-1.250179,1.026248,-0.073586,72.060028,0.000000
1.000000,0.999541,1.026916,-0.027070,-1.265583,1.026493,-0.062279,72.835449,0.000000
1.000000,1.000156,1.026826,-0.026760,-1.282587,1.026518,-0.068047,73.402252,0.000000
1.000000,0.999540,1.026787,-0.027286,-1.291648,1.026474,-0.077591,73.976440,0.000000
1.000000,1.000155,1.026757,-0.026632,-1.294136,1.026416,-0.083416,74.602631,0.000000
1.000000,0.999539,1.026629,-0.027219,-1.303850,1.026298,-0.085400,75.210785,0.000000
1.000000,1.000154,1.026532,-0.026475,-1.310276,1.026190,-0.086002,75.838959,0.000000
1.000000,0.999538,1.026764,-0.026994,-1.322360,1.026335,-0.072273,76.624634,0.000000
1.000000,1.000153,1.026159,-0.026611,-1.340331,1.025961,-0.089054,76.987030,0.000000
1.000000,0.999536,1.026298,-0.026622,-1.339167,1.025915,-0.087929,77.689911,0.000000
1.000000,1.000151,1.026388,-0.026146,-1.348945,1.025983,-0.076168,78.434753,0.000000
1.000000,0.999535,1.026775,-0.026853,-1.369609,1.026320,-0.055798,79.270752,0.000000
