ref,transient profile,sensor_data,error,control_signal,ESO 1st order,ESO 2nd order,ESO 3rd order,ESO 4th order
1.000000,0.999582,1.007377,-0.007971,-0.060226,1.007300,-0.020264,2.724030,0.000000
1.000000,1.000197,1.007577,-0.007180,-0.062242,1.007435,-0.014858,2.984558,0.000000
1.000000,0.999581,1.007607,-0.007996,-0.072014,1.007509,-0.013466,3.165283,0.000000
1.000000,1.000196,1.007630,-0.007412,-0.073671,1.007543,-0.018044,3.325867,0.000000
1.000000,0.999579,1.007952,-0.008051,-0.076572,1.007779,-0.010300,3.642944,0.000000
1.000000,1.000194,1.007692,-0.007758,-0.084181,1.007669,-0.021584,3.684235,0.000000
1.000000,0.999578,1.007814,-0.008114,-0.081313,1.007697,-0.024151,3.899231,0.000000
1.000000,1.000193,1.007878,-0.007621,-0.081453,1.007750,-0.021614,4.135315,0.000000
1.000000,0.999577,1.008125,-0.008301,-0.089123,1.007956,-0.011066,4.445374,0.000000
1.000000,1.000192,1.008127,-0.007933,-0.097856,1.008036,-0.012840,4.612335,0.000000
1.000000,0.999576,1.007944,-0.008551,-0.102391,1.007912,-0.025856,4.670593,0.000000
1.000000,1.000191,1.007898,-0.007753,-0.094300,1.007809,-0.033764,4.834015,0.000000
1.000000,0.999575,1.007849,-0.008323,-0.095125,1.007734,-0.031311,5.044495,0.000000
1.000000,1.000190,1.007614,-0.007660,-0.097235,1.007549,-0.034195,5.163788,0.000000
1.000000,0.999573,1.007834,-0.008041,-0.099445,1.007657,-0.021786,5.488678,0.000000
1.000000,1.000188,1.007538,-0.007645,-0.108955,1.007500,-0.026257,5.558685,0.000000
1.000000,0.999572,1.007776,-0.007966,-0.109684,1.007618,-0.019382,5.849091,0.000000
1.000000,1.000187,1.007772,-0.007589,-0.115983,1.007666,-0.017342,6.043091,0.000000
1.000000,0.999571,1.007846,-0.008201,-0.122693,1.007737,-0.016350,6.243805,0.000000
1.000000,1.000186,1.007704,-0.007660,-0.124478,1.007649,-0.025078,6.344086,0.000000
1.000000,0.999570,1.008206,-0.008134,-0.123913,1.007976,-0.010147,6.765900,0.000000
1.000000,1.000185,1.008003,-0.008021,-0.137079,1.007955,-0.015236,6.854492,0.000000
1.000000,0.999569,1.008141,-0.008435,-0.138327,1.008030,-0.018707,7.059265,0.000000
1.000000,1.000184,1.008061,-0.007958,-0.138035,1.007982,-0.025570,7.204559,0.000000
1.000000,0.999567,1.007774,-0.008493,-0.139270,1.007741,-0.036716,7.264130,0.000000
1.000000,1.000182,1.007663,-0.007591,-0.131668,1.007568,-0.039894,7.439850,0.000000
1.000000,0.999566,1.007779,-0.008097,-0.134721,1.007609,-0.026329,7.751831,0.000000
1.000000,1.000181,1.007745,-0.007597,-0.144325,1.007631,-0.019184,7.961487,0.000000
1.000000,0.999565,1.007324,-0.008180,-0.153667,1.007339,-0.032650,7.933563,0.000000
1.000000,1.000180,1.007416,-0.007143,-0.143291,1.007289,-0.033298,8.167877,0.000000
1.000000,0.999564,1.007408,-0.007852,-0.149005,1.007280,-0.024738,8.403503,0.000000
1.000000,1.000179,1.007586,-0.007229,-0.154729,1.007430,-0.013821,8.690887,0.000000
1.000000,0.999563,1.007827,-0.008024,-0.167669,1.007675,-0.003708,8.969849,0.000000
1.000000,1.000178,1.008363,-0.007649,-0.175819,1.008155,0.008492,9.352081,0.000000
1.000000,0.999561,1.008094,-0.008801,-0.192197,1.008110,-0.010178,9.321869,0.000000
1.000000,1.000176,1.008103,-0.007917,-0.180196,1.008043,-0.029434,9.431824,0.000000
1.000000,0.999560,1.008018,-0.008543,-0.174781,1.007924,-0.035458,9.603973,0.000000
1.000000,1.000175,1.008032,-0.007843,-0.171987,1.007894,-0.030952,9.857147,0.000000
1.000000,0.999559,1.008071,-0.008473,-0.180582,1.007933,-0.021786,10.110413,0.000000
1.000000,1.000174,1.007951,-0.007897,-0.187071,1.007874,-0.023712,10.252167,0.000000
1.000000,0.999558,1.007876,-0.008394,-0.190595,1.007795,-0.027340,10.399872,0.000000
1.000000,1.000173,1.007768,-0.007703,-0.188701,1.007684,-0.031494,10.553711,0.000000
1.000000,0.999557,1.007936,-0.008212,-0.191152,1.007773,-0.022003,10.852478,0.000000
1.000000,1.000172,1.007878,-0.007764,-0.198746,1.007779,-0.019882,11.033325,0.000000
1.000000,0.999555,1.007451,-0.008322,-0.205119,1.007467,-0.035500,11.003967,0.000000
1.000000,1.000170,1.007605,-0.007281,-0.193605,1.007454,-0.033298,11.281067,0.000000
1.000000,0.999554,1.007735,-0.008051,-0.201548,1.007565,-0.018433,11.591461,0.000000
1.000000,1.000169,1.007634,-0.007565,-0.212018,1.007556,-0.017742,11.734985,0.000000
1.000000,0.999553,1.007558,-0.008081,-0.217018,1.007493,-0.023331,11.854614,0.000000
1.000000,1.000168,1.007515,-0.007390,-0.213769,1.007427,-0.028107,12.015259,0.000000
