ref,transient profile,sensor_data,error,control_signal,ESO 1st order,ESO 2nd order,ESO 3rd order
1.000000,0.999992,0.989240,0.010752,-1.969943,0.989171,-0.022034,119.697266
1.000000,1.000607,0.989075,0.011532,-1.968918,0.989171,-0.022034,119.697266
1.000000,0.999991,0.989462,0.010529,-1.969945,0.989171,-0.022034,119.697266
1.000000,1.000606,0.989798,0.010807,-1.968920,0.989171,-0.022034,119.697266
1.000000,0.999989,0.989666,0.010324,-1.969947,0.989171,-0.022034,119.697266
1.000000,1.000604,0.989444,0.011160,-1.968922,0.989171,-0.022034,119.697266
1.000000,0.999988,0.989358,0.010630,-1.969949,0.989171,-0.022034,119.697266
1.000000,1.000603,0.989283,0.011320,-1.968924,0.989171,-0.022034,119.697266
1.000000,0.999987,0.989218,0.010769,-1.969951,0.989171,-0.022034,119.697266
1.000000,1.000602,0.989056,0.011546,-1.968926,0.989171,-0.022034,119.697266
1.000000,0.999986,0.988915,0.011071,-1.969953,0.989171,-0.022034,119.697266
1.000000,1.000601,0.988899,0.011702,-1.968928,0.989171,-0.022034,119.697266
1.000000,0.999985,0.988672,0.011313,-1.969955,0.989171,-0.022034,119.697266
1.000000,1.000600,0.988688,0.011912,-1.968930,0.989171,-0.022034,119.697266
1.000000,0.999983,0.988807,0.011176,-1.969957,0.989171,-0.022034,119.697266
1.000000,1.000598,0.988699,0.011899,-1.968932,0.989171,-0.022034,119.697266
1.000000,0.999982,0.988711,0.011271,-1.969959,0.989171,-0.022034,119.697266
1.000000,1.000597,0.988722,0.011876,-1.968934,0.989171,-0.022034,119.697266
1.000000,0.999981,0.988837,0.011144,-1.969961,0.989171,-0.022034,119.697266
1.000000,1.000596,0.988831,0.011765,-1.968936,0.989171,-0.022034,119.697266
1.000000,0.999980,0.988720,0.011260,-1.969963,0.989171,-0.022034,119.697266
1.000000,1.000595,0.988729,0.011866,-1.968938,0.989171,-0.022034,119.697266
1.000000,0.999979,0.988737,0.011241,-1.969965,0.989171,-0.022034,119.697266
1.000000,1.000594,0.988638,0.011956,-1.968940,0.989171,-0.022034,119.697266
1.000000,0.999977,0.988340,0.011638,-1.969967,0.989171,-0.022034,119.697266
1.000000,1.000592,0.988399,0.012193,-1.968942,0.989171,-0.022034,119.697266
1.000000,0.999976,0.988557,0.011419,-1.969969,0.989171,-0.022034,119.697266
1.000000,1.000591,0.988588,0.012003,-1.968944,0.989171,-0.022034,119.697266
1.000000,0.999975,0.988721,0.011254,-1.969971,0.989171,-0.022034,119.697266
1.000000,1.000590,0.988730,0.011860,-1.968946,0.989171,-0.022034,119.697266
1.000000,0.999974,0.988526,0.011448,-1.969973,0.989171,-0.022034,119.697266
1.000000,1.000589,0.988667,0.011922,-1.968948,0.989171,-0.022034,119.697266
1.000000,0.999973,0.988789,0.011183,-1.969975,0.989171,-0.022034,119.697266
1.000000,1.000588,0.988683,0.011904,-1.968950,0.989171,-0.022034,119.697266
1.000000,0.999972,0.988804,0.011168,-1.969977,0.989171,-0.022034,119.697266
1.000000,1.000587,0.988908,0.011678,-1.968952,0.989171,-0.022034,119.697266
1.000000,0.999970,0.989105,0.010865,-1.969979,0.989171,-0.022034,119.697266
1.000000,1.000585,0.989064,0.011521,-1.968954,0.989171,-0.022034,119.697266
1.000000,0.999969,0.988922,0.011047,-1.969981,0.989171,-0.022034,119.697266
1.000000,1.000584,0.988905,0.011680,-1.968956,0.989171,-0.022034,119.697266
1.000000,0.999968,0.988890,0.011078,-1.969983,0.989171,-0.022034,119.697266
1.000000,1.000583,0.988877,0.011706,-1.968958,0.989171,-0.022034,119.697266
1.000000,0.999967,0.988972,0.010995,-1.969985,0.989171,-0.022034,119.697266
1.000000,1.000582,0.988735,0.011846,-1.968960,0.989171,-0.022034,119.697266
1.000000,0.999966,0.988637,0.011329,-1.969987,0.989171,-0.022034,119.697266
1.000000,1.000581,0.988763,0.011817,-1.968962,0.989171,-0.022034,119.697266
1.000000,0.999964,0.989192,0.010773,-1.969989,0.989171,-0.022034,119.697266
1.000000,1.000579,0.989351,0.011228,-1.968964,0.989171,-0.022034,119.697266
1.000000,0.999963,0.989384,0.010580,-1.969991,0.989171,-0.022034,119.697266
1.000000,1.000578,0.989518,0.011060,-1.968966,0.989171,-0.022034,119.697266
1.000000,0.999962,0.989635,0.010327,-1.969993,0.989171,-0.022034,119.697266
1.000000,1.000577,0.989417,0.011160,-1.968968,0.989171,-0.022034,119.697266
1.000000,0.999961,0.989335,0.010626,-1.969995,0.989171,-0.022034,119.697266
