ref,transient profile,sensor_data,error,control_signal,ESO 1st order,ESO 2nd order,ESO 3rd order
1.000000,1.000000,0.982372,0.017628,-1.200861,0.981741,0.007629,73.105835
1.000000,0.999385,0.982581,0.016804,-1.201518,0.981741,0.007629,73.105835
1.000000,1.000000,0.982231,0.017769,-1.200861,0.981741,0.007629,73.105835
1.000000,0.999385,0.982352,0.017032,-1.201518,0.981741,0.007629,73.105835
1.000000,1.000000,0.982351,0.017649,-1.200861,0.981741,0.007629,73.105835
1.000000,0.999385,0.982244,0.017140,-1.201518,0.981741,0.007629,73.105835
1.000000,1.000000,0.982151,0.017849,-1.200861,0.981741,0.007629,73.105835
1.000000,0.999385,0.982177,0.017208,-1.201518,0.981741,0.007629,73.105835
1.000000,1.000000,0.982305,0.017695,-1.200861,0.981741,0.007629,73.105835
1.000000,0.999385,0.982204,0.017181,-1.201518,0.981741,0.007629,73.105835
1.000000,1.000000,0.982435,0.017565,-1.200861,0.981741,0.007629,73.105835
1.000000,0.999385,0.982529,0.016856,-1.201518,0.981741,0.007629,73.105835
1.000000,1.000000,0.982505,0.017496,-1.200861,0.981741,0.007629,73.105835
1.000000,0.999385,0.982696,0.016689,-1.201518,0.981741,0.007629,73.105835
1.000000,1.000000,0.982650,0.017351,-1.200861,0.981741,0.007629,73.105835
1.000000,0.999385,0.982609,0.016775,-1.201518,0.981741,0.007629,73.105835
1.000000,1.000000,0.982681,0.017320,-1.200861,0.981741,0.007629,73.105835
1.000000,0.999385,0.982636,0.016748,-1.201518,0.981741,0.007629,73.105835
1.000000,1.000000,0.982598,0.017402,-1.200861,0.981741,0.007629,73.105835
1.000000,0.999385,0.982352,0.017033,-1.201518,0.981741,0.007629,73.105835
1.000000,1.000000,0.982457,0.017543,-1.200861,0.981741,0.007629,73.105835
1.000000,0.999385,0.982442,0.016942,-1.201518,0.981741,0.007629,73.105835
1.000000,1.000000,0.982429,0.017571,-1.200861,0.981741,0.007629,73.105835
1.000000,0.999385,0.982524,0.016860,-1.201518,0.981741,0.007629,73.105835
1.000000,1.000000,0.982501,0.017500,-1.200861,0.981741,0.007629,73.105835
1.000000,0.999385,0.982692,0.016692,-1.201518,0.981741,0.007629,73.105835
1.000000,1.000000,0.982753,0.017247,-1.200861,0.981741,0.007629,73.105835
1.000000,0.999385,0.982699,0.016686,-1.201518,0.981741,0.007629,73.105835
1.000000,1.000000,0.982758,0.017242,-1.200861,0.981741,0.007629,73.105835
1.000000,0.999385,0.982810,0.016575,-1.201518,0.981741,0.007629,73.105835
1.000000,1.000000,0.982749,0.017251,-1.200861,0.981741,0.007629,73.105835
1.000000,0.999385,0.982589,0.016795,-1.201518,0.981741,0.007629,73.105835
1.000000,1.000000,0.982557,0.017443,-1.200861,0.981741,0.007629,73.105835
1.000000,0.999385,0.982529,0.016856,-1.201518,0.981741,0.007629,73.105835
1.000000,1.000000,0.982611,0.017389,-1.200861,0.981741,0.007629,73.105835
1.000000,0.999385,0.982576,0.016809,-1.201518,0.981741,0.007629,73.105835
1.000000,1.000000,0.982757,0.017243,-1.200861,0.981741,0.007629,73.105835
1.000000,0.999385,0.982703,0.016682,-1.201518,0.981741,0.007629,73.105835
1.000000,1.000000,0.982762,0.017238,-1.200861,0.981741,0.007629,73.105835
1.000000,0.999385,0.982919,0.016465,-1.201518,0.981741,0.007629,73.105835
1.000000,1.000000,0.982843,0.017157,-1.200861,0.981741,0.007629,73.105835
1.000000,0.999385,0.982778,0.016607,-1.201518,0.981741,0.007629,73.105835
1.000000,1.000000,0.982720,0.017280,-1.200861,0.981741,0.007629,73.105835
1.000000,0.999385,0.982671,0.016714,-1.201518,0.981741,0.007629,73.105835
1.000000,1.000000,0.982522,0.017478,-1.200861,0.981741,0.007629,73.105835
1.000000,0.999385,0.982498,0.016886,-1.201518,0.981741,0.007629,73.105835
1.000000,1.000000,0.982478,0.017522,-1.200861,0.981741,0.007629,73.105835
1.000000,0.999385,0.982460,0.016924,-1.201518,0.981741,0.007629,73.105835
1.000000,1.000000,0.982445,0.017555,-1.200861,0.981741,0.007629,73.105835
1.000000,0.999385,0.982538,0.016847,-1.201518,0.981741,0.007629,73.105835
1.000000,1.000000,0.982619,0.017381,-1.200861,0.981741,0.007629,73.105835
1.000000,0.999385,0.982476,0.016908,-1.201518,0.981741,0.007629,73.105835
1.000000,1.000000,0.982884,0.017116,-1.200861,0.981741,0.007629,73.105835
1.000000,0.999385,0.982813,0.016572,-1.201518,0.981741,0.007629,73.105835
1.000000,1.000000,0.982751,0.017249,-1.200861,0.981741,0.007629,73.105835
1.000000,0.999385,0.982803,0.016581,-1.201518,0.981741,0.007629,73.105835
1.000000,1.000000,0.982743,0.017257,-1.200861,0.981741,0.007629,73.105835
1.000000,0.999385,0.982478,0.016907,-1.201518,0.981741,0.007629,73.105835
1.000000,1.000000,0.982248,0.017752,-1.200861,0.981741,0.007629,73.105835
1.000000,0.999385,0.982154,0.017230,-1.201518,0.981741,0.007629,73.105835
1.000000,1.000000,0.982073,0.017927,-1.200861,0.981741,0.007629,73.105835
1.000000,0.999385,0.982215,0.017169,-1.201518,0.981741,0.007629,73.105835
1.000000,1.000000,0.982338,0.017662,-1.200861,0.981741,0.007629,73.105835
1.000000,0.999385,0.982445,0.016939,-1.201518,0.981741,0.007629,73.105835
1.000000,1.000000,0.982432,0.017568,-1.200861,0.981741,0.007629,73.105835
1.000000,0.999385,0.982420,0.016964,-1.201518,0.981741,0.007629,73.105835
1.000000,1.000000,0.982517,0.017484,-1.200861,0.981741,0.007629,73.105835
1.000000,0.999385,0.982706,0.016678,-1.201518,0.981741,0.007629,73.105835
1.000000,1.000000,0.982659,0.017342,-1.200861,0.981741,0.007629,73.105835
1.000000,0.999385,0.982511,0.016874,-1.201518,0.981741,0.007629,73.105835
1.000000,1.000000,0.982489,0.017511,-1.200861,0.981741,0.007629,73.105835
1.000000,0.999385,0.982470,0.016915,-1.201518,0.981741,0.007629,73.105835
1.000000,1.000000,0.982347,0.017653,-1.200861,0.981741,0.007629,73.105835
1.000000,0.999385,0.982347,0.017038,-1.201518,0.981741,0.007629,73.105835
1.000000,1.000000,0.982346,0.017654,-1.200861,0.981741,0.007629,73.105835
1.000000,0.999385,0.982240,0.017145,-1.201518,0.981741,0.007629,73.105835
1.000000,1.000000,0.982254,0.017746,-1.200861,0.981741,0.007629,73.105835
1.000000,0.999385,0.982159,0.017225,-1.201518,0.981741,0.007629,73.105835
1.000000,1.000000,0.982184,0.017816,-1.200861,0.981741,0.007629,73.105835
1.000000,0.999385,0.982311,0.017073,-1.201518,0.981741,0.007629,73.105835
1.000000,1.000000,0.982422,0.017578,-1.200861,0.981741,0.007629,73.105835
1.000000,0.999385,0.982412,0.016973,-1.201518,0.981741,0.007629,73.105835
1.000000,1.000000,0.982296,0.017704,-1.200861,0.981741,0.007629,73.105835
1.000000,0.999385,0.982515,0.016869,-1.201518,0.981741,0.007629,73.105835
1.000000,1.000000,0.982811,0.017189,-1.200861,0.981741,0.007629,73.105835
1.000000,0.999385,0.982750,0.016635,-1.201518,0.981741,0.007629,73.105835
1.000000,1.000000,0.982802,0.017198,-1.200861,0.981741,0.007629,73.105835
1.000000,0.999385,0.982848,0.016536,-1.201518,0.981741,0.007629,73.105835
1.000000,1.000000,0.982782,0.017218,-1.200861,0.981741,0.007629,73.105835
1.000000,0.999385,0.982830,0.016554,-1.201518,0.981741,0.007629,73.105835
