ref,transient profile,sensor_data,error,control_signal,ESO 1st order,ESO 2nd order,ESO 3rd order
1.000000,1.000000,1.120080,-0.120080,-1.294171,1.120202,0.022072,65.210693
1.000000,1.000615,1.120089,-0.119473,-1.289044,1.120181,0.022461,64.959351
1.000000,1.000000,1.120096,-0.120097,-1.286874,1.120185,0.025032,64.718323
1.000000,1.000615,1.120103,-0.119488,-1.282141,1.120196,0.026672,64.463623
1.000000,1.000000,1.120002,-0.120003,-1.276392,1.120124,0.023102,64.132141
1.000000,1.000615,1.120128,-0.119512,-1.273705,1.120196,0.027256,63.946411
1.000000,1.000000,1.120130,-0.120130,-1.271029,1.120225,0.029099,63.686279
1.000000,1.000615,1.119920,-0.119304,-1.259980,1.120071,0.019974,63.273743
1.000000,1.000000,1.119950,-0.119950,-1.256873,1.120037,0.019699,63.034363
1.000000,1.000615,1.119975,-0.119360,-1.253850,1.120053,0.024445,62.822815
1.000000,1.000000,1.120210,-0.120211,-1.257049,1.120250,0.035965,62.714600
1.000000,1.000615,1.119990,-0.119374,-1.245988,1.120148,0.027603,62.281555
1.000000,1.000000,1.120116,-0.120117,-1.243003,1.120200,0.026604,62.054749
1.000000,1.000615,1.120227,-0.119611,-1.240284,1.120298,0.031025,61.859314
1.000000,1.000000,1.120535,-0.120535,-1.243662,1.120570,0.042118,61.762451
1.000000,1.000615,1.120377,-0.119762,-1.232618,1.120533,0.033096,61.336426
1.000000,1.000000,1.120241,-0.120241,-1.222161,1.120393,0.019470,60.920410
1.000000,1.000615,1.120335,-0.119719,-1.218392,1.120406,0.021030,60.724854
1.000000,1.000000,1.120416,-0.120416,-1.218949,1.120481,0.028538,60.546570
1.000000,1.000615,1.120380,-0.119765,-1.213208,1.120487,0.028915,60.255920
1.000000,1.000000,1.120137,-0.120137,-1.203145,1.120297,0.017906,59.818726
1.000000,1.000615,1.120138,-0.119523,-1.197499,1.120230,0.016773,59.569824
1.000000,1.000000,1.120033,-0.120034,-1.194127,1.120135,0.017967,59.292725
1.000000,1.000615,1.120048,-0.119433,-1.190957,1.120128,0.022648,59.075867
1.000000,1.000000,1.120167,-0.120167,-1.191863,1.120229,0.030682,58.905884
1.000000,1.000615,1.120165,-0.119549,-1.186435,1.120267,0.031368,58.624878
1.000000,1.000000,1.120056,-0.120056,-1.178981,1.120190,0.024307,58.257996
1.000000,1.000615,1.119855,-0.119240,-1.167901,1.120000,0.014378,57.862366
1.000000,1.000000,1.119788,-0.119788,-1.164103,1.119884,0.013660,57.598145
1.000000,1.000615,1.119835,-0.119220,-1.162836,1.119897,0.021767,57.428406
1.000000,1.000000,1.119876,-0.119876,-1.162777,1.119951,0.028870,57.222961
1.000000,1.000615,1.120018,-0.119402,-1.160753,1.120087,0.034954,57.033875
1.000000,1.000000,1.119929,-0.119929,-1.154012,1.120060,0.029518,56.673828
1.000000,1.000615,1.119851,-0.119236,-1.144589,1.119979,0.021797,56.324829
1.000000,1.000000,1.119890,-0.119890,-1.141951,1.119975,0.022476,56.092468
1.000000,1.000615,1.120136,-0.119521,-1.143452,1.120170,0.034260,56.000732
1.000000,1.000000,1.119925,-0.119925,-1.135315,1.120077,0.027653,55.585754
1.000000,1.000615,1.120060,-0.119445,-1.130696,1.120141,0.027496,55.366821
1.000000,1.000000,1.119966,-0.119966,-1.065028,1.119763,-0.210239,55.919922
1.000000,1.000615,1.119883,-0.119268,-1.057386,1.119094,-0.340977,58.073853
1.000000,1.000000,1.119918,-0.119918,-1.109049,1.118748,-0.347355,61.267883
1.000000,1.000615,1.119948,-0.119333,-1.176739,1.118722,-0.306343,64.614136
1.000000,1.000000,1.119868,-0.119868,-1.236804,1.118748,-0.280922,67.670898
1.000000,1.000615,1.120011,-0.119395,-1.349265,1.119228,-0.037590,69.808899
1.000000,1.000000,1.120029,-0.120029,-1.397596,1.119876,0.086445,70.225708
1.000000,1.000615,1.120044,-0.119429,-1.389123,1.120239,0.088963,69.694763
1.000000,1.000000,1.120164,-0.120164,-1.369666,1.120381,0.054806,69.100464
1.000000,1.000615,1.120055,-0.119440,-1.349444,1.120252,0.023071,68.564636
1.000000,1.000000,1.120067,-0.120068,-1.342935,1.120169,0.014347,68.286560
1.000000,1.000615,1.119972,-0.119356,-1.337709,1.120066,0.015251,68.027649
1.000000,1.000000,1.119888,-0.119889,-1.335207,1.119983,0.018147,67.769287
1.000000,1.000615,1.120028,-0.119413,-1.335161,1.120079,0.028046,67.630371
1.000000,1.000000,1.119832,-0.119832,-1.328367,1.119971,0.023926,67.250305
1.000000,1.000615,1.119873,-0.119258,-1.322981,1.119965,0.023361,67.000061
1.000000,1.000000,1.120015,-0.120016,-1.323673,1.120075,0.030315,66.836853
1.000000,1.000615,1.120245,-0.119630,-1.323765,1.120295,0.039818,66.701416
1.000000,1.000000,1.120338,-0.120338,-1.320735,1.120436,0.040340,66.433960
1.000000,1.000615,1.120207,-0.119591,-1.308519,1.120363,0.027874,66.006775
