ref,transient profile,sensor_data,error,control_signal,ESO 1st order,ESO 2nd order,ESO 3rd order
1.000000,1.000368,1.019024,-0.018656,-1.219825,1.017555,0.010696,71.267578
1.000000,0.999753,1.018969,-0.019216,-1.220851,1.017555,0.010696,71.267578
1.000000,1.000369,1.018921,-0.018552,-1.219824,1.017555,0.010696,71.267578
1.000000,0.999754,1.018774,-0.019020,-1.220850,1.017555,0.010696,71.267578
1.000000,1.000370,1.018965,-0.018595,-1.219823,1.017555,0.010696,71.267578
1.000000,0.999755,1.019024,-0.019269,-1.220848,1.017555,0.010696,71.267578
1.000000,1.000371,1.018863,-0.018492,-1.219822,1.017555,0.010696,71.267578
1.000000,0.999755,1.019042,-0.019286,-1.220847,1.017555,0.010696,71.267578
1.000000,1.000371,1.019197,-0.018826,-1.219821,1.017555,0.010696,71.267578
1.000000,0.999756,1.019225,-0.019469,-1.220846,1.017555,0.010696,71.267578
1.000000,1.000372,1.019463,-0.019091,-1.219819,1.017555,0.010696,71.267578
1.000000,0.999757,1.019456,-0.019699,-1.220845,1.017555,0.010696,71.267578
1.000000,1.000373,1.019663,-0.019290,-1.219818,1.017555,0.010696,71.267578
1.000000,0.999757,1.019524,-0.019767,-1.220844,1.017555,0.010696,71.267578
1.000000,1.000373,1.019403,-0.019030,-1.219817,1.017555,0.010696,71.267578
1.000000,0.999758,1.019192,-0.019434,-1.220842,1.017555,0.010696,71.267578
1.000000,1.000374,1.019221,-0.018847,-1.219816,1.017555,0.010696,71.267578
1.000000,0.999759,1.019353,-0.019594,-1.220841,1.017555,0.010696,71.267578
1.000000,1.000375,1.018936,-0.018561,-1.219815,1.017555,0.010696,71.267578
1.000000,0.999760,1.018787,-0.019027,-1.220840,1.017555,0.010696,71.267578
1.000000,1.000376,1.018869,-0.018494,-1.219813,1.017555,0.010696,71.267578
1.000000,0.999760,1.018835,-0.019075,-1.220839,1.017555,0.010696,71.267578
1.000000,1.000376,1.018593,-0.018216,-1.219812,1.017555,0.010696,71.267578
1.000000,0.999761,1.018807,-0.019046,-1.220838,1.017555,0.010696,71.267578
1.000000,1.000377,1.019099,-0.018722,-1.219811,1.017555,0.010696,71.267578
1.000000,0.999762,1.019141,-0.019379,-1.220837,1.017555,0.010696,71.267578
1.000000,1.000378,1.019071,-0.018693,-1.219810,1.017555,0.010696,71.267578
1.000000,0.999762,1.019116,-0.019353,-1.220835,1.017555,0.010696,71.267578
1.000000,1.000378,1.019049,-0.018671,-1.219809,1.017555,0.010696,71.267578
1.000000,0.999763,1.018778,-0.019015,-1.220834,1.017555,0.010696,71.267578
1.000000,1.000379,1.018544,-0.018165,-1.219808,1.017555,0.010696,71.267578
1.000000,0.999764,1.018446,-0.018682,-1.220833,1.017555,0.010696,71.267578
1.000000,1.000380,1.018361,-0.017981,-1.219806,1.017555,0.010696,71.267578
1.000000,0.999765,1.018287,-0.018523,-1.220832,1.017555,0.010696,71.267578
1.000000,1.000381,1.018224,-0.017843,-1.219805,1.017555,0.010696,71.267578
1.000000,0.999765,1.018486,-0.018721,-1.220831,1.017555,0.010696,71.267578
