ref,transient profile,sensor_data,error,control_signal,ESO 1st order,ESO 2nd order,ESO 3rd order,ESO 4th order
1.000000,1.000558,0.996582,0.003976,-0.879929,0.996376,0.013420,52.958984,0.000000
1.000000,0.999942,0.996511,0.003431,-0.880956,0.996376,0.013420,52.958984,0.000000
1.000000,1.000557,0.996556,0.004001,-0.879931,0.996376,0.013420,52.958984,0.000000
1.000000,0.999941,0.996594,0.003346,-0.880958,0.996376,0.013420,52.958984,0.000000
1.000000,1.000556,0.996522,0.004034,-0.879933,0.996376,0.013420,52.958984,0.000000
1.000000,0.999939,0.996459,0.003480,-0.880960,0.996376,0.013420,52.958984,0.000000
1.000000,1.000554,0.996617,0.003938,-0.879935,0.996376,0.013420,52.958984,0.000000
1.000000,0.999938,0.996541,0.003397,-0.880962,0.996376,0.013420,52.958984,0.000000
1.000000,1.000553,0.996582,0.003971,-0.879937,0.996376,0.013420,52.958984,0.000000
1.000000,0.999937,0.996511,0.003426,-0.880964,0.996376,0.013420,52.958984,0.000000
1.000000,1.000552,0.996449,0.004103,-0.879939,0.996376,0.013420,52.958984,0.000000
1.000000,0.999936,0.996290,0.003646,-0.880966,0.996376,0.013420,52.958984,0.000000
1.000000,1.000551,0.996364,0.004187,-0.879941,0.996376,0.013420,52.958984,0.000000
1.000000,0.999935,0.996428,0.003507,-0.880968,0.996376,0.013420,52.958984,0.000000
1.000000,1.000550,0.996377,0.004173,-0.879943,0.996376,0.013420,52.958984,0.000000
1.000000,0.999933,0.996439,0.003494,-0.880970,0.996376,0.013420,52.958984,0.000000
1.000000,1.000548,0.996493,0.004055,-0.879945,0.996376,0.013420,52.958984,0.000000
1.000000,0.999932,0.996434,0.003498,-0.880972,0.996376,0.013420,52.958984,0.000000
1.000000,1.000547,0.996595,0.003952,-0.879947,0.996376,0.013420,52.958984,0.000000
1.000000,0.999931,0.996629,0.003302,-0.880974,0.996376,0.013420,52.958984,0.000000
1.000000,1.000546,0.996658,0.003888,-0.879949,0.996376,0.013420,52.958984,0.000000
1.000000,0.999930,0.996577,0.003353,-0.880976,0.996376,0.013420,52.958984,0.000000
1.000000,1.000545,0.996507,0.004038,-0.879951,0.996376,0.013420,52.958984,0.000000
1.000000,0.999929,0.996446,0.003483,-0.880978,0.996376,0.013420,52.958984,0.000000
1.000000,1.000544,0.996499,0.004045,-0.879953,0.996376,0.013420,52.958984,0.000000
1.000000,0.999927,0.996227,0.003701,-0.880980,0.996376,0.013420,52.958984,0.000000
1.000000,1.000542,0.996415,0.004128,-0.879955,0.996376,0.013420,52.958984,0.000000
1.000000,0.999926,0.996472,0.003454,-0.880982,0.996376,0.013420,52.958984,0.000000
1.000000,1.000541,0.996522,0.004019,-0.879957,0.996376,0.013420,52.958984,0.000000
1.000000,0.999925,0.996565,0.003360,-0.880984,0.996376,0.013420,52.958984,0.000000
1.000000,1.000540,0.996390,0.004150,-0.879959,0.996376,0.013420,52.958984,0.000000
1.000000,0.999924,0.996451,0.003473,-0.880986,0.996376,0.013420,52.958984,0.000000
1.000000,1.000539,0.996397,0.004142,-0.879961,0.996376,0.013420,52.958984,0.000000
1.000000,0.999923,0.996563,0.003360,-0.880988,0.996376,0.013420,52.958984,0.000000
1.000000,1.000538,0.996495,0.004043,-0.879963,0.996376,0.013420,52.958984,0.000000
1.000000,0.999921,0.996541,0.003380,-0.880990,0.996376,0.013420,52.958984,0.000000
1.000000,1.000536,0.996582,0.003954,-0.879965,0.996376,0.013420,52.958984,0.000000
1.000000,0.999920,0.996511,0.003409,-0.880992,0.996376,0.013420,52.958984,0.000000
1.000000,1.000535,0.996450,0.004086,-0.879967,0.996376,0.013420,52.958984,0.000000
1.000000,0.999919,0.996502,0.003417,-0.880994,0.996376,0.013420,52.958984,0.000000
1.000000,1.000534,0.996973,0.003561,-0.879969,0.996376,0.013420,52.958984,0.000000
1.000000,0.999918,0.996850,0.003067,-0.880996,0.996376,0.013420,52.958984,0.000000
1.000000,1.000533,0.996744,0.003789,-0.879971,0.996376,0.013420,52.958984,0.000000
1.000000,0.999917,0.996652,0.003265,-0.880998,0.996376,0.013420,52.958984,0.000000
1.000000,1.000532,0.996784,0.003748,-0.879973,0.996376,0.013420,52.958984,0.000000
1.000000,0.999915,0.996687,0.003229,-0.881000,0.996376,0.013420,52.958984,0.000000
1.000000,1.000530,0.996602,0.003929,-0.879975,0.996376,0.013420,52.958984,0.000000
1.000000,0.999914,0.996635,0.003280,-0.881002,0.996376,0.013420,52.958984,0.000000
1.000000,1.000529,0.996557,0.003973,-0.879977,0.996376,0.013420,52.958984,0.000000
1.000000,0.999913,0.996489,0.003424,-0.881004,0.996376,0.013420,52.958984,0.000000
1.000000,1.000528,0.996430,0.004098,-0.879979,0.996376,0.013420,52.958984,0.000000
1.000000,0.999912,0.996380,0.003532,-0.881006,0.996376,0.013420,52.958984,0.000000
1.000000,1.000527,0.996548,0.003979,-0.879981,0.996376,0.013420,52.958984,0.000000
1.000000,0.999911,0.996587,0.003323,-0.881008,0.996376,0.013420,52.958984,0.000000
1.000000,1.000526,0.996622,0.003904,-0.879983,0.996376,0.013420,52.958984,0.000000
1.000000,0.999910,0.996652,0.003258,-0.881010,0.996376,0.013420,52.958984,0.000000
1.000000,1.000525,0.996572,0.003953,-0.879985,0.996376,0.013420,52.958984,0.000000
1.000000,0.999908,0.996715,0.003194,-0.881012,0.996376,0.013420,52.958984,0.000000
1.000000,1.000523,0.996626,0.003897,-0.879987,0.996376,0.013420,52.958984,0.000000
1.000000,0.999907,0.996550,0.003358,-0.881014,0.996376,0.013420,52.958984,0.000000
1.000000,1.000522,0.996589,0.003933,-0.879989,0.996376,0.013420,52.958984,0.000000
1.000000,0.999906,0.996305,0.003601,-0.881016,0.996376,0.013420,52.958984,0.000000
1.000000,1.000521,0.997120,0.003401,-0.879991,0.996376,0.013420,52.958984,0.000000
1.000000,0.999905,0.997084,0.002820,-0.881018,0.996376,0.013420,52.958984,0.000000
1.000000,1.000520,0.996523,0.003997,-0.879993,0.996376,0.013420,52.958984,0.000000
1.000000,0.999904,0.996566,0.003338,-0.881020,0.996376,0.013420,52.958984,0.000000
1.000000,1.000519,0.996709,0.003809,-0.879995,0.996376,0.013420,52.958984,0.000000
1.000000,0.999902,0.996622,0.003281,-0.881022,0.996376,0.013420,52.958984,0.000000
1.000000,1.000517,0.996652,0.003866,-0.879997,0.996376,0.013420,52.958984,0.000000
1.000000,0.999901,0.996678,0.003223,-0.881024,0.996376,0.013420,52.958984,0.000000
1.000000,1.000516,0.996594,0.003922,-0.879999,0.996376,0.013420,52.958984,0.000000
1.000000,0.999900,0.996628,0.003272,-0.881026,0.996376,0.013420,52.958984,0.000000
1.000000,1.000515,0.996657,0.003858,-0.880001,0.996376,0.013420,52.958984,0.000000
1.000000,0.999899,0.996682,0.003216,-0.881028,0.996376,0.013420,52.958984,0.000000
1.000000,1.000514,0.996598,0.003915,-0.880003,0.996376,0.013420,52.958984,0.000000
1.000000,0.999898,0.996738,0.003160,-0.881030,0.996376,0.013420,52.958984,0.000000
1.000000,1.000513,0.996540,0.003973,-0.880005,0.996376,0.013420,52.958984,0.000000
1.000000,0.999896,0.996581,0.003316,-0.881032,0.996376,0.013420,52.958984,0.000000
1.000000,1.000511,0.996616,0.003895,-0.880007,0.996376,0.013420,52.958984,0.000000
1.000000,0.999895,0.996753,0.003142,-0.881034,0.996376,0.013420,52.958984,0.000000
1.000000,1.000510,0.996660,0.003851,-0.880009,0.996376,0.013420,52.958984,0.000000
1.000000,0.999894,0.996579,0.003315,-0.881036,0.996376,0.013420,52.958984,0.000000
