ref,transient profile,sensor_data,error,control_signal,ESO 1st order,ESO 2nd order,ESO 3rd order
2.000000,2.000274,0.876716,1.123558,3.300000,0.876716,-0.009987,-184.490479
2.000000,1.984883,0.876618,1.108265,3.300000,0.876618,-0.001389,-184.490479
2.000000,2.000272,0.876639,1.123633,3.300000,0.876639,0.002342,-184.490479
2.000000,1.984881,0.876657,1.108224,3.300000,0.876657,0.001328,-184.490479
2.000000,2.000269,0.876567,1.123703,3.300000,0.876567,-0.007133,-184.490479
2.000000,1.984879,0.876488,1.108391,3.300000,0.876488,-0.001305,-184.490479
2.000000,2.000267,0.876526,1.123741,3.300000,0.876526,0.003540,-184.490479
2.000000,1.984876,0.876559,1.108317,3.300000,0.876559,0.001869,-184.490479
2.000000,2.000264,0.876588,1.123677,3.300000,0.876588,0.001366,-184.490479
2.000000,1.984874,0.876506,1.108367,3.300000,0.876506,-0.005524,-184.490479
2.000000,2.000262,0.876648,1.123614,3.300000,0.876648,0.013176,-184.490479
2.000000,1.984872,0.876771,1.108100,3.300000,0.876771,0.003960,-184.490479
2.000000,2.000260,0.876772,1.123488,3.300000,0.876772,-0.001686,-184.490479
2.000000,1.984869,0.876879,1.107990,3.300000,0.876879,0.009789,-184.490479
2.000000,2.000257,0.876759,1.123498,3.300000,0.876759,-0.013298,-184.490479
2.000000,1.984867,0.876974,1.107893,3.300000,0.876974,0.023209,-184.490479
2.000000,2.000255,0.876948,1.123307,3.300000,0.876948,-0.012726,-184.490479
2.000000,1.984864,0.876925,1.107939,3.300000,0.876925,0.005486,-184.490479
2.000000,2.000252,0.876906,1.123347,3.300000,0.876906,-0.003876,-184.490479
2.000000,1.984862,0.876889,1.107973,3.300000,0.876889,0.001709,-184.490479
2.000000,2.000250,0.876661,1.123589,3.300000,0.876661,-0.017357,-184.490479
2.000000,1.984860,0.876783,1.108077,3.300000,0.876783,0.018250,-184.490479
2.000000,2.000248,0.876782,1.123466,3.300000,0.876782,-0.008530,-184.490479
2.000000,1.984857,0.876781,1.108076,3.300000,0.876781,0.005096,-184.490479
2.000000,2.000245,0.876887,1.123359,3.300000,0.876887,0.005516,-184.490479
2.000000,1.984855,0.876872,1.107983,3.300000,0.876872,-0.002563,-184.490479
2.000000,2.000243,0.876860,1.123383,3.300000,0.876860,0.000435,-184.490479
2.000000,1.984852,0.876849,1.108004,3.300000,0.876849,0.000107,-184.490479
2.000000,2.000241,0.876839,1.123402,3.300000,0.876839,-0.000603,-184.490479
2.000000,1.984850,0.876937,1.107913,3.300000,0.876937,0.008614,-184.490479
2.000000,2.000238,0.876810,1.123429,3.300000,0.876810,-0.013290,-184.490479
2.000000,1.984848,0.876699,1.108149,3.300000,0.876699,-0.000748,-184.490479
2.000000,2.000236,0.876815,1.123420,3.300000,0.876815,0.009056,-184.490479
2.000000,1.984845,0.876810,1.108035,3.300000,0.876810,-0.003532,-184.490479
2.000000,2.000233,0.876700,1.123534,3.300000,0.876700,-0.006332,-184.490479
2.000000,1.984843,0.876710,1.108133,3.300000,0.876710,0.004845,-184.490479
2.000000,2.000231,0.876719,1.123513,3.300000,0.876719,-0.001511,-184.490479
2.000000,1.984841,0.876726,1.108114,3.300000,0.876726,0.002373,-184.490479
2.000000,2.000229,0.876839,1.123390,3.300000,0.876839,0.007317,-184.490479
2.000000,1.984838,0.876725,1.108114,3.300000,0.876725,-0.010765,-184.490479
2.000000,2.000226,0.876731,1.123495,3.300000,0.876731,0.005730,-184.490479
2.000000,1.984836,0.876737,1.108099,3.300000,0.876737,-0.001160,-184.490479
2.000000,2.000224,0.876742,1.123482,3.300000,0.876742,0.001060,-184.490479
2.000000,1.984833,0.876747,1.108087,3.300000,0.876747,0.000946,-184.490479
2.000000,2.000221,0.876751,1.123471,3.300000,0.876751,-0.000015,-184.490479
2.000000,1.984831,0.876648,1.108183,3.300000,0.876648,-0.006424,-184.490479
2.000000,2.000219,0.876771,1.123448,3.300000,0.876771,0.012253,-184.490479
2.000000,1.984829,0.876772,1.108057,3.300000,0.876772,-0.004608,-184.490479
2.000000,2.000217,0.876772,1.123444,3.300000,0.876772,0.002380,-184.490479
2.000000,1.984826,0.876773,1.108053,3.300000,0.876773,0.000061,-184.490479
2.000000,2.000214,0.876880,1.123335,3.300000,0.876880,0.007965,-184.490479
2.000000,1.984824,0.876760,1.108064,3.300000,0.876760,-0.011436,-184.490479
2.000000,2.000212,0.876868,1.123344,3.300000,0.876868,0.013527,-184.490479
2.000000,1.984821,0.876856,1.107965,3.300000,0.876856,-0.006134,-184.490479
2.000000,2.000210,0.876952,1.123258,3.300000,0.876952,0.010101,-184.490479
