ref,transient profile,sensor_data,error,control_signal,ESO 1st order,ESO 2nd order,ESO 3rd order
1.000000,1.000358,0.963448,0.036910,-0.588353,0.963474,0.039940,38.230713
1.000000,0.999741,0.963495,0.036246,-0.589571,0.963528,0.040260,38.230713
1.000000,1.000356,0.963324,0.037032,-0.582167,0.963367,0.020958,38.230713
1.000000,0.999740,0.963282,0.036458,-0.584844,0.963309,0.026474,38.230713
1.000000,1.000355,0.963458,0.036897,-0.591393,0.963477,0.049507,38.230713
1.000000,0.999739,0.963504,0.036235,-0.590320,0.963541,0.042542,38.230713
1.000000,1.000354,0.963438,0.036916,-0.584750,0.963477,0.028526,38.230713
1.000000,0.999738,0.963487,0.036251,-0.588010,0.963513,0.035385,38.230713
1.000000,1.000353,0.963423,0.036929,-0.585391,0.963459,0.030640,38.230713
1.000000,0.999737,0.963368,0.036369,-0.585587,0.963401,0.028320,38.230713
1.000000,1.000352,0.963426,0.036925,-0.587902,0.963452,0.038597,38.230713
1.000000,0.999735,0.963158,0.036577,-0.580719,0.963205,0.013969,38.230713
1.000000,1.000350,0.963244,0.037107,-0.586828,0.963262,0.036201,38.230713
1.000000,0.999734,0.963212,0.036522,-0.587574,0.963247,0.035393,38.230713
1.000000,1.000349,0.963185,0.037164,-0.585514,0.963219,0.032272,38.230713
1.000000,0.999733,0.963055,0.036678,-0.583355,0.963092,0.022881,38.230713
1.000000,1.000348,0.962836,0.037512,-0.579332,0.962873,0.014565,38.230713
1.000000,0.999732,0.962858,0.036874,-0.586335,0.962879,0.033401,38.230713
1.000000,1.000347,0.962983,0.037364,-0.590237,0.963009,0.048279,38.230713
1.000000,0.999731,0.963092,0.036639,-0.590914,0.963125,0.046562,38.230713
1.000000,1.000346,0.962868,0.037478,-0.580225,0.962917,0.017143,38.230713
1.000000,0.999730,0.963204,0.036525,-0.594055,0.963211,0.056023,38.230713
1.000000,1.000345,0.963390,0.036954,-0.594075,0.963423,0.058205,38.230713
1.000000,0.999728,0.963339,0.036389,-0.586675,0.963384,0.031799,38.230713
