ref,transient profile,sensor_data,error,control_signal,ESO 1st order,ESO 2nd order,ESO 3rd order,ESO 4th order
1.000000,0.999933,1.027350,-0.027417,0.916787,1.026983,-0.075840,-58.893982,0.000000
1.000000,1.000548,1.026411,-0.025862,0.937657,1.026290,-0.116493,-58.673035,0.000000
1.000000,0.999932,1.026126,-0.026194,0.933002,1.025798,-0.128578,-58.071136,0.000000
1.000000,1.000547,1.026834,-0.026287,0.891495,1.026189,-0.081821,-56.886230,0.000000
1.000000,0.999931,1.026281,-0.026350,0.877413,1.026013,-0.073067,-56.394379,0.000000
1.000000,1.000546,1.026544,-0.025998,0.865746,1.026160,-0.069637,-55.688324,0.000000
1.000000,0.999930,1.026454,-0.026524,0.857063,1.026138,-0.076324,-55.107117,0.000000
1.000000,1.000545,1.027438,-0.026893,0.825376,1.026842,-0.049175,-54.013367,0.000000
1.000000,0.999929,1.027018,-0.027089,0.822778,1.026791,-0.062550,-53.596741,0.000000
1.000000,1.000544,1.027078,-0.026534,0.824379,1.026768,-0.080521,-53.028107,0.000000
1.000000,0.999927,1.026811,-0.026884,0.822317,1.026523,-0.097382,-52.498932,0.000000
1.000000,1.000542,1.026474,-0.025931,0.821046,1.026174,-0.106224,-51.949371,0.000000
1.000000,0.999926,1.026074,-0.026148,0.812998,1.025770,-0.110462,-51.391357,0.000000
1.000000,1.000541,1.026896,-0.026354,0.774381,1.026270,-0.069271,-50.242950,0.000000
1.000000,0.999925,1.026653,-0.026728,0.757542,1.026335,-0.059845,-49.659271,0.000000
1.000000,1.000540,1.027186,-0.026646,0.741547,1.026749,-0.052856,-48.856903,0.000000
1.000000,0.999924,1.027223,-0.027300,0.733317,1.026899,-0.062332,-48.260712,0.000000
1.000000,1.000539,1.026938,-0.026399,0.740332,1.026697,-0.085758,-47.818451,0.000000
1.000000,0.999923,1.026796,-0.026873,0.736232,1.026477,-0.100510,-47.233917,0.000000
1.000000,1.000538,1.026566,-0.026029,0.729779,1.026226,-0.101986,-46.609039,0.000000
1.000000,0.999921,1.026261,-0.026340,0.718479,1.025935,-0.101746,-46.011261,0.000000
1.000000,1.000536,1.026102,-0.025566,0.707412,1.025746,-0.095131,-45.358124,0.000000
1.000000,0.999920,1.025858,-0.025938,0.694837,1.025533,-0.092804,-44.761749,0.000000
1.000000,1.000535,1.025752,-0.025217,0.684647,1.025405,-0.087921,-44.124756,0.000000
1.000000,0.999919,1.024917,-0.024998,0.690066,1.024764,-0.108616,-43.844177,0.000000
1.000000,1.000534,1.024829,-0.024295,0.681950,1.024475,-0.107193,-43.195190,0.000000
1.000000,0.999918,1.025177,-0.025259,0.649173,1.024675,-0.077503,-42.273041,0.000000
1.000000,1.000533,1.025373,-0.024840,0.625977,1.024955,-0.053391,-41.505341,0.000000
1.000000,0.999917,1.024800,-0.024884,0.630668,1.024650,-0.075043,-41.228790,0.000000
1.000000,1.000532,1.025790,-0.025258,0.605106,1.025233,-0.057140,-40.207123,0.000000
1.000000,0.999915,1.025799,-0.025884,0.589302,1.025454,-0.052757,-39.574402,0.000000
1.000000,1.000530,1.025064,-0.024533,0.607585,1.024967,-0.088177,-39.396088,0.000000
1.000000,0.999914,1.025912,-0.025998,0.581167,1.025366,-0.075954,-38.394043,0.000000
1.000000,1.000529,1.026012,-0.025482,0.561991,1.025603,-0.059193,-37.644531,0.000000
1.000000,0.999913,1.027372,-0.027459,0.515754,1.026704,-0.019119,-36.418823,0.000000
1.000000,1.000528,1.027173,-0.026645,0.517007,1.026947,-0.033100,-36.004883,0.000000
1.000000,0.999912,1.026894,-0.026982,0.533349,1.026736,-0.080070,-35.714203,0.000000
1.000000,1.000527,1.026970,-0.026443,0.534697,1.026620,-0.099335,-35.072113,0.000000
1.000000,0.999911,1.026718,-0.026807,0.524770,1.026374,-0.103409,-34.441650,0.000000
1.000000,1.000526,1.026392,-0.025867,0.517828,1.026069,-0.102390,-33.847565,0.000000
1.000000,0.999910,1.026535,-0.026625,0.494808,1.026097,-0.087452,-33.044617,0.000000
1.000000,1.000525,1.026446,-0.025921,0.481223,1.026083,-0.077412,-32.379211,0.000000
1.000000,0.999908,1.025732,-0.025823,0.486499,1.025567,-0.099529,-32.076782,0.000000
1.000000,1.000523,1.026067,-0.025544,0.470755,1.025618,-0.091007,-31.252441,0.000000
1.000000,0.999907,1.026252,-0.026345,0.444586,1.025805,-0.071396,-30.431793,0.000000
1.000000,1.000522,1.026095,-0.025572,0.436869,1.025787,-0.070004,-29.866577,0.000000
1.000000,0.999906,1.025533,-0.025627,0.443034,1.025356,-0.095409,-29.541321,0.000000
1.000000,1.000521,1.025682,-0.025161,0.433195,1.025287,-0.094738,-28.816681,0.000000
1.000000,0.999905,1.025812,-0.025907,0.409668,1.025381,-0.078812,-28.026825,0.000000
1.000000,1.000520,1.025606,-0.025086,0.401353,1.025298,-0.075687,-27.461273,0.000000
1.000000,0.999904,1.025746,-0.025842,0.386542,1.025376,-0.073818,-26.783081,0.000000
1.000000,1.000519,1.025655,-0.025136,0.380401,1.025337,-0.076157,-26.199615,0.000000
1.000000,0.999902,1.025788,-0.025886,0.365859,1.025415,-0.075077,-25.514618,0.000000
1.000000,1.000517,1.026222,-0.025705,0.345490,1.025764,-0.059872,-24.673676,0.000000
1.000000,0.999901,1.025856,-0.025955,0.343021,1.025622,-0.073261,-24.243866,0.000000
1.000000,1.000516,1.025751,-0.025234,0.344064,1.025462,-0.087666,-23.714386,0.000000
1.000000,0.999900,1.025871,-0.025971,0.328555,1.025477,-0.085411,-22.991241,0.000000
1.000000,1.000515,1.025870,-0.025355,0.315525,1.025497,-0.077442,-22.306580,0.000000
1.000000,0.999899,1.025550,-0.025651,0.309649,1.025282,-0.085369,-21.814484,0.000000
1.000000,1.000514,1.024848,-0.024334,0.320366,1.024682,-0.108593,-21.510681,0.000000
1.000000,0.999898,1.025406,-0.025508,0.291044,1.024879,-0.087582,-20.543579,0.000000
1.000000,1.000513,1.025678,-0.025166,0.262854,1.025208,-0.056797,-19.680634,0.000000
1.000000,0.999896,1.025702,-0.025806,0.248517,1.025379,-0.053715,-19.086823,0.000000
1.000000,1.000511,1.025723,-0.025212,0.247434,1.025432,-0.065517,-18.553223,0.000000
1.000000,0.999895,1.026166,-0.026271,0.230222,1.025739,-0.064095,-17.769409,0.000000
1.000000,1.000510,1.026126,-0.025615,0.224279,1.025802,-0.068005,-17.175293,0.000000
1.000000,0.999894,1.025985,-0.026091,0.220037,1.025697,-0.081379,-16.647949,0.000000
1.000000,1.000509,1.025862,-0.025353,0.217110,1.025547,-0.089306,-16.070312,0.000000
1.000000,0.999893,1.025968,-0.026075,0.199965,1.025570,-0.083973,-15.340088,0.000000
1.000000,1.000508,1.025317,-0.024809,0.204144,1.025115,-0.097069,-14.970337,0.000000
1.000000,0.999892,1.025388,-0.025497,0.189487,1.025007,-0.094799,-14.271088,0.000000
1.000000,1.000507,1.025451,-0.024944,0.171727,1.025045,-0.079269,-13.525848,0.000000
1.000000,0.999890,1.025505,-0.025614,0.153026,1.025133,-0.069599,-12.842651,0.000000
1.000000,1.000505,1.025552,-0.025046,0.143484,1.025210,-0.067276,-12.216644,0.000000
1.000000,0.999889,1.025805,-0.025915,0.127239,1.025417,-0.064571,-11.505585,0.000000
1.000000,1.000504,1.025812,-0.025308,0.120828,1.025486,-0.067730,-10.906281,0.000000
1.000000,0.999888,1.025925,-0.026037,0.109499,1.025573,-0.072010,-10.260773,0.000000
1.000000,1.000503,1.026022,-0.025519,0.100458,1.025661,-0.072105,-9.596893,0.000000
1.000000,0.999887,1.026107,-0.026220,0.087074,1.025745,-0.072758,-8.932648,0.000000
1.000000,1.000502,1.026287,-0.025785,0.075089,1.025901,-0.068844,-8.223633,0.000000
1.000000,0.999886,1.026337,-0.026451,0.062645,1.025987,-0.070732,-7.580200,0.000000
1.000000,1.000501,1.026381,-0.025880,0.055682,1.026035,-0.073776,-6.946747,0.000000
1.000000,0.999884,1.026312,-0.026428,0.047078,1.025988,-0.080929,-6.350922,0.000000
1.000000,1.000499,1.026359,-0.025859,0.038201,1.025994,-0.080940,-5.681061,0.000000
1.000000,0.999883,1.026187,-0.026304,0.028950,1.025870,-0.085697,-5.098785,0.000000
1.000000,1.000498,1.026038,-0.025540,0.023587,1.025716,-0.089008,-4.507935,0.000000
1.000000,0.999882,1.026121,-0.026239,0.006611,1.025729,-0.083565,-3.788788,0.000000
1.000000,1.000497,1.026086,-0.025589,-0.004925,1.025727,-0.077675,-3.128571,0.000000
1.000000,0.999881,1.026057,-0.026176,-0.017557,1.025714,-0.077896,-2.500061,0.000000
1.000000,1.000496,1.026031,-0.025535,-0.036393,1.025730,-0.053307,-1.948242,0.000000
1.000000,0.999880,1.025902,-0.026022,-0.049868,1.025701,-0.042740,-1.578156,0.000000
1.000000,1.000495,1.025790,-0.025296,-0.051233,1.025627,-0.044907,-1.278534,0.000000
1.000000,0.999879,1.025800,-0.025921,-0.058125,1.025603,-0.047676,-0.917999,0.000000
1.000000,1.000494,1.025914,-0.025420,-0.065534,1.025678,-0.043110,-0.484222,0.000000
1.000000,0.999877,1.025907,-0.026030,-0.074594,1.025704,-0.042179,-0.112244,0.000000
1.000000,1.000492,1.025901,-0.025409,-0.077585,1.025708,-0.043472,0.242310,0.000000
1.000000,0.999876,1.026002,-0.026126,-0.087483,1.025778,-0.042477,0.652893,0.000000
1.000000,1.000491,1.026089,-0.025598,-0.093715,1.025866,-0.039616,1.062378,0.000000
1.000000,0.999875,1.026059,-0.026184,-0.100276,1.025872,-0.042694,1.405273,0.000000
1.000000,1.000490,1.025927,-0.025437,-0.099045,1.025767,-0.049767,1.698547,0.000000
1.000000,0.999874,1.025918,-0.026044,-0.106328,1.025714,-0.051975,2.072815,0.000000
1.000000,1.000489,1.026017,-0.025528,-0.114973,1.025773,-0.045193,2.520020,0.000000
1.000000,0.999873,1.026102,-0.026230,-0.127578,1.025870,-0.039360,2.946716,0.000000
1.000000,1.000488,1.026070,-0.025583,-0.130401,1.025885,-0.040611,3.287415,0.000000
1.000000,0.999871,1.025830,-0.025959,-0.130033,1.025703,-0.052814,3.521515,0.000000
1.000000,1.000486,1.026153,-0.025667,-0.141179,1.025863,-0.044559,4.053192,0.000000
1.000000,0.999870,1.026114,-0.026244,-0.151995,1.025905,-0.040527,4.437073,0.000000
1.000000,1.000485,1.025975,-0.025490,-0.151350,1.025819,-0.046272,4.722748,0.000000
1.000000,0.999869,1.025960,-0.026091,-0.157288,1.025767,-0.050587,5.077301,0.000000
1.000000,1.000484,1.026053,-0.025569,-0.164712,1.025815,-0.045868,5.513275,0.000000
1.000000,0.999868,1.026028,-0.026160,-0.174163,1.025823,-0.044106,5.888947,0.000000
1.000000,1.000483,1.026112,-0.025629,-0.180232,1.025891,-0.041309,6.295166,0.000000
1.000000,0.999867,1.026291,-0.026425,-0.192770,1.026047,-0.036842,6.744141,0.000000
1.000000,1.000482,1.026234,-0.025753,-0.194278,1.026057,-0.040249,7.069397,0.000000
1.000000,0.999865,1.025867,-0.026001,-0.189807,1.025774,-0.057957,7.239807,0.000000
1.000000,1.000480,1.025972,-0.025492,-0.195100,1.025733,-0.057045,7.678497,0.000000
1.000000,0.999864,1.026064,-0.026199,-0.210982,1.025802,-0.046055,8.158508,0.000000
1.000000,1.000479,1.026037,-0.025558,-0.217701,1.025830,-0.040676,8.537659,0.000000
1.000000,0.999863,1.025907,-0.026044,-0.221709,1.025749,-0.046577,8.829010,0.000000
1.000000,1.000478,1.026220,-0.025742,-0.232247,1.025942,-0.039101,9.339386,0.000000
1.000000,0.999862,1.026279,-0.026417,-0.243305,1.026059,-0.035831,9.743103,0.000000
1.000000,1.000477,1.026224,-0.025747,-0.243542,1.026054,-0.041298,10.055420,0.000000
1.000000,0.999861,1.026282,-0.026421,-0.250164,1.026077,-0.045525,10.431335,0.000000
1.000000,1.000476,1.026120,-0.025645,-0.249449,1.025957,-0.051647,10.731476,0.000000
1.000000,0.999859,1.026192,-0.026333,-0.259573,1.025962,-0.050083,11.153656,0.000000
1.000000,1.000474,1.026255,-0.025780,-0.267785,1.026020,-0.043655,11.585449,0.000000
1.000000,0.999858,1.026415,-0.026557,-0.281366,1.026168,-0.037132,12.039124,0.000000
1.000000,1.000473,1.026342,-0.025869,-0.282763,1.026168,-0.040470,12.357971,0.000000
1.000000,0.999857,1.026173,-0.026315,-0.283392,1.026028,-0.051987,12.622589,0.000000
1.000000,1.000472,1.026344,-0.025872,-0.290723,1.026091,-0.048538,13.086731,0.000000
1.000000,0.999856,1.026280,-0.026424,-0.300258,1.026075,-0.046459,13.463501,0.000000
1.000000,1.000471,1.026437,-0.025966,-0.308907,1.026191,-0.040268,13.915131,0.000000
1.000000,0.999855,1.026361,-0.026507,-0.315399,1.026180,-0.042999,14.247711,0.000000
1.000000,1.000470,1.026295,-0.025826,-0.315650,1.026118,-0.048424,14.572388,0.000000
1.000000,0.999853,1.026450,-0.026597,-0.327342,1.026203,-0.045338,15.026764,0.000000
1.000000,1.000468,1.026373,-0.025904,-0.330932,1.026180,-0.045139,15.379822,0.000000
1.000000,0.999852,1.026411,-0.026559,-0.339570,1.026200,-0.045597,15.768341,0.000000
1.000000,1.000467,1.026551,-0.026084,-0.347355,1.026309,-0.040901,16.213104,0.000000
1.000000,0.999851,1.026460,-0.026609,-0.353309,1.026281,-0.044464,16.541138,0.000000
1.000000,1.000466,1.026063,-0.025596,-0.345085,1.025968,-0.060238,16.713989,0.000000
1.000000,0.999850,1.026142,-0.026292,-0.354810,1.025903,-0.059509,17.152313,0.000000
1.000000,1.000465,1.026211,-0.025746,-0.366528,1.025951,-0.047340,17.630188,0.000000
1.000000,0.999849,1.026590,-0.026741,-0.388550,1.026274,-0.029037,18.209290,0.000000
1.000000,1.000464,1.026600,-0.026136,-0.393006,1.026411,-0.028065,18.556061,0.000000
1.000000,0.999848,1.026715,-0.026868,-0.397882,1.026522,-0.035812,18.909637,0.000000
1.000000,1.000463,1.026709,-0.026246,-0.397010,1.026527,-0.044369,19.242737,0.000000
1.000000,0.999846,1.026491,-0.026644,-0.397137,1.026346,-0.056648,19.508606,0.000000
1.000000,1.000461,1.026939,-0.026477,-0.413011,1.026603,-0.042301,20.125610,0.000000
1.000000,0.999845,1.026797,-0.026951,-0.422135,1.026609,-0.040112,20.469452,0.000000
1.000000,1.000460,1.026779,-0.026319,-0.423187,1.026596,-0.044685,20.806580,0.000000
1.000000,0.999844,1.026658,-0.026814,-0.426410,1.026488,-0.052715,21.118347,0.000000
1.000000,1.000459,1.026659,-0.026200,-0.430463,1.026443,-0.052883,21.514923,0.000000
1.000000,0.999843,1.026554,-0.026711,-0.438454,1.026356,-0.052979,21.878082,0.000000
1.000000,1.000458,1.026675,-0.026217,-0.447619,1.026424,-0.045658,22.338806,0.000000
1.000000,0.999842,1.026568,-0.026726,-0.455192,1.026381,-0.046238,22.681000,0.000000
1.000000,1.000457,1.026581,-0.026124,-0.458854,1.026375,-0.046852,23.058228,0.000000
1.000000,0.999840,1.026698,-0.026858,-0.470361,1.026459,-0.043640,23.498138,0.000000
1.000000,1.000455,1.026163,-0.025708,-0.460938,1.026094,-0.059883,23.624115,0.000000
1.000000,0.999839,1.026123,-0.026284,-0.466394,1.025922,-0.064796,23.994202,0.000000
1.000000,1.000454,1.026089,-0.025635,-0.475222,1.025850,-0.056320,24.432556,0.000000
1.000000,0.999838,1.026059,-0.026221,-0.488361,1.025833,-0.048080,24.847168,0.000000
1.000000,1.000453,1.026033,-0.025580,-0.494210,1.025828,-0.044098,25.221954,0.000000
1.000000,0.999837,1.026329,-0.026492,-0.510277,1.026052,-0.034882,25.729767,0.000000
1.000000,1.000452,1.026373,-0.025921,-0.515392,1.026168,-0.033394,26.105743,0.000000
1.000000,0.999836,1.026199,-0.026364,-0.515168,1.026067,-0.046253,26.349396,0.000000
1.000000,1.000451,1.026049,-0.025598,-0.511583,1.025894,-0.057339,26.632996,0.000000
1.000000,0.999834,1.026024,-0.026189,-0.520215,1.025807,-0.057335,27.031830,0.000000
1.000000,1.000449,1.026002,-0.025553,-0.528069,1.025775,-0.050442,27.448639,0.000000
1.000000,0.999833,1.026090,-0.026257,-0.541852,1.025849,-0.042526,27.890869,0.000000
1.000000,1.000448,1.026166,-0.025718,-0.549044,1.025944,-0.037655,28.298096,0.000000
1.000000,0.999832,1.026019,-0.026187,-0.552002,1.025868,-0.045319,28.576263,0.000000
1.000000,1.000447,1.026105,-0.025658,-0.555631,1.025889,-0.046852,28.972137,0.000000
1.000000,0.999831,1.026285,-0.026454,-0.569333,1.026027,-0.040661,29.444946,0.000000
1.000000,1.000446,1.026123,-0.025677,-0.569938,1.025962,-0.044312,29.740204,0.000000
1.000000,0.999830,1.026194,-0.026365,-0.577801,1.025982,-0.046406,30.129456,0.000000
1.000000,1.000445,1.026257,-0.025812,-0.583778,1.026032,-0.043854,30.541168,0.000000
1.000000,0.999828,1.025886,-0.026057,-0.582649,1.025777,-0.055882,30.741058,0.000000
1.000000,1.000443,1.025883,-0.025439,-0.585526,1.025675,-0.057522,31.122650,0.000000
1.000000,0.999827,1.025880,-0.026052,-0.597757,1.025648,-0.051464,31.548218,0.000000
1.000000,1.000442,1.025983,-0.025541,-0.608209,1.025736,-0.041401,32.002014,0.000000
1.000000,0.999826,1.026073,-0.026247,-0.620147,1.025849,-0.036579,32.414520,0.000000
1.000000,1.000441,1.026152,-0.025711,-0.624567,1.025945,-0.036484,32.793671,0.000000
1.000000,1.000440,1.026172,-0.025732,-0.632207,1.025993,-0.045246,33.495178,0.000000
1.000000,0.999824,1.026131,-0.026307,-0.637842,1.025941,-0.049992,33.843872,0.000000
1.000000,1.000439,1.026096,-0.025657,-0.641400,1.025893,-0.050316,34.216003,0.000000
1.000000,0.999822,1.026171,-0.026348,-0.653149,1.025936,-0.045982,34.646881,0.000000
1.000000,1.000437,1.026236,-0.025799,-0.660543,1.026009,-0.040844,35.063446,0.000000
1.000000,0.999821,1.026293,-0.026471,-0.670043,1.026080,-0.039978,35.453644,0.000000
1.000000,1.000436,1.026236,-0.025800,-0.671045,1.026057,-0.044239,35.780884,0.000000
1.000000,0.999820,1.026399,-0.026579,-0.681759,1.026159,-0.042831,36.221466,0.000000
1.000000,1.000435,1.026328,-0.025893,-0.684278,1.026140,-0.044563,36.565338,0.000000
1.000000,0.999819,1.026266,-0.026447,-0.689717,1.026082,-0.049282,36.902924,0.000000
1.000000,1.000434,1.026425,-0.025991,-0.697863,1.026175,-0.044228,37.362671,0.000000
1.000000,0.999818,1.026032,-0.026215,-0.697344,1.025923,-0.055054,37.563477,0.000000
1.000000,1.000433,1.026010,-0.025577,-0.699490,1.025809,-0.057678,37.932526,0.000000
1.000000,0.999817,1.026309,-0.026492,-0.719276,1.025999,-0.042591,38.500610,0.000000
1.000000,1.000432,1.026250,-0.025818,-0.725948,1.026049,-0.037098,38.868744,0.000000
1.000000,0.999815,1.026517,-0.026702,-0.738855,1.026264,-0.032833,39.332489,0.000000
