ref,transient profile,sensor_data,error,control_signal,ESO 1st order,ESO 2nd order,ESO 3rd order
1.000000,0.998173,1.002839,-0.004666,-0.250014,1.003438,-0.000435,14.482544
1.000000,1.000641,1.002793,-0.002151,-0.245899,1.003438,-0.000435,14.482544
1.000000,0.998185,1.002859,-0.004674,-0.249993,1.003438,-0.000435,14.482544
1.000000,1.000654,1.002917,-0.002263,-0.245878,1.003438,-0.000435,14.482544
1.000000,0.998198,1.002861,-0.004663,-0.249972,1.003438,-0.000435,14.482544
1.000000,1.000667,1.002918,-0.002252,-0.245857,1.003438,-0.000435,14.482544
1.000000,0.998211,1.003180,-0.004970,-0.249950,1.003438,-0.000435,14.482544
1.000000,1.000679,1.003408,-0.002729,-0.245836,1.003438,-0.000435,14.482544
1.000000,0.998223,1.003181,-0.004958,-0.249929,1.003438,-0.000435,14.482544
1.000000,1.000692,1.003302,-0.002610,-0.245815,1.003438,-0.000435,14.482544
1.000000,0.998236,1.003195,-0.004960,-0.249908,1.003438,-0.000435,14.482544
1.000000,1.000705,1.003421,-0.002717,-0.245794,1.003438,-0.000435,14.482544
1.000000,0.998249,1.003405,-0.005156,-0.249887,1.003438,-0.000435,14.482544
1.000000,1.000717,1.003603,-0.002886,-0.245773,1.003438,-0.000435,14.482544
1.000000,0.998261,1.003563,-0.005301,-0.249866,1.003438,-0.000435,14.482544
1.000000,1.000730,1.003421,-0.002692,-0.245752,1.003438,-0.000435,14.482544
1.000000,0.998274,1.003299,-0.005025,-0.249845,1.003438,-0.000435,14.482544
1.000000,1.000742,1.003192,-0.002450,-0.245731,1.003438,-0.000435,14.482544
1.000000,0.998286,1.003206,-0.004920,-0.249824,1.003438,-0.000435,14.482544
1.000000,1.000755,1.003218,-0.002463,-0.245710,1.003438,-0.000435,14.482544
1.000000,0.998299,1.003335,-0.005035,-0.249803,1.003438,-0.000435,14.482544
1.000000,1.000768,1.003330,-0.002562,-0.245689,1.003438,-0.000435,14.482544
1.000000,0.998312,1.003219,-0.004907,-0.249782,1.003438,-0.000435,14.482544
1.000000,1.000780,1.003123,-0.002343,-0.245668,1.003438,-0.000435,14.482544
1.000000,0.998324,1.003252,-0.004928,-0.249761,1.003438,-0.000435,14.482544
1.000000,1.000793,1.003258,-0.002465,-0.245647,1.003438,-0.000435,14.482544
1.000000,0.998337,1.003369,-0.005032,-0.249740,1.003438,-0.000435,14.482544
1.000000,1.000806,1.003360,-0.002554,-0.245626,1.003438,-0.000435,14.482544
1.000000,0.998350,1.003458,-0.005108,-0.249719,1.003438,-0.000435,14.482544
1.000000,1.000818,1.003436,-0.002618,-0.245604,1.003438,-0.000435,14.482544
1.000000,0.998362,1.003418,-0.005056,-0.249698,1.003438,-0.000435,14.482544
1.000000,1.000831,1.003402,-0.002571,-0.245583,1.003438,-0.000435,14.482544
1.000000,0.998375,1.003176,-0.004801,-0.249677,1.003438,-0.000435,14.482544
1.000000,1.000844,1.003298,-0.002454,-0.245562,1.003438,-0.000435,14.482544
1.000000,0.998388,1.003298,-0.004910,-0.249656,1.003438,-0.000435,14.482544
1.000000,1.000856,1.003404,-0.002548,-0.245541,1.003438,-0.000435,14.482544
1.000000,0.998400,1.003390,-0.004989,-0.249635,1.003438,-0.000435,14.482544
1.000000,1.000869,1.003377,-0.002509,-0.245520,1.003438,-0.000435,14.482544
1.000000,0.998413,1.003260,-0.004848,-0.249614,1.003438,-0.000435,14.482544
1.000000,1.000881,1.003265,-0.002384,-0.245499,1.003438,-0.000435,14.482544
1.000000,0.998425,1.003482,-0.005056,-0.249592,1.003438,-0.000435,14.482544
1.000000,1.000894,1.003351,-0.002457,-0.245478,1.003438,-0.000435,14.482544
1.000000,0.998438,1.003344,-0.004906,-0.249571,1.003438,-0.000435,14.482544
1.000000,1.000907,1.003550,-0.002643,-0.245457,1.003438,-0.000435,14.482544
1.000000,0.998451,1.003729,-0.005278,-0.249550,1.003438,-0.000435,14.482544
1.000000,1.000919,1.003672,-0.002753,-0.245436,1.003438,-0.000435,14.482544
1.000000,0.998463,1.003516,-0.005053,-0.249529,1.003438,-0.000435,14.482544
1.000000,1.000932,1.003381,-0.002449,-0.245415,1.003438,-0.000435,14.482544
1.000000,0.998476,1.003052,-0.004576,-0.249508,1.003438,-0.000435,14.482544
1.000000,1.000945,1.003190,-0.002245,-0.245394,1.003438,-0.000435,14.482544
1.000000,0.998489,1.003204,-0.004716,-0.249487,1.003438,-0.000435,14.482544
1.000000,1.000957,1.003110,-0.002153,-0.245373,1.003438,-0.000435,14.482544
1.000000,0.998501,1.003028,-0.004527,-0.249466,1.003438,-0.000435,14.482544
1.000000,1.000970,1.002958,-0.001988,-0.245352,1.003438,-0.000435,14.482544
1.000000,0.998514,1.003002,-0.004488,-0.249445,1.003438,-0.000435,14.482544
1.000000,1.000983,1.003041,-0.002059,-0.245331,1.003438,-0.000435,14.482544
1.000000,0.998527,1.002969,-0.004442,-0.249424,1.003438,-0.000435,14.482544
1.000000,1.000995,1.002906,-0.001911,-0.245310,1.003438,-0.000435,14.482544
1.000000,0.998539,1.002851,-0.004312,-0.249403,1.003438,-0.000435,14.482544
1.000000,1.001008,1.002804,-0.001796,-0.245289,1.003438,-0.000435,14.482544
1.000000,0.998552,1.003081,-0.004529,-0.249382,1.003438,-0.000435,14.482544
1.000000,1.001020,1.003322,-0.002301,-0.245267,1.003438,-0.000435,14.482544
1.000000,0.998564,1.003531,-0.004966,-0.249361,1.003438,-0.000435,14.482544
1.000000,1.001033,1.003500,-0.002467,-0.245246,1.003438,-0.000435,14.482544
1.000000,0.998577,1.003579,-0.005002,-0.249340,1.003438,-0.000435,14.482544
1.000000,1.001046,1.003542,-0.002496,-0.245225,1.003438,-0.000435,14.482544
1.000000,0.998590,1.003404,-0.004814,-0.249319,1.003438,-0.000435,14.482544
1.000000,1.001058,1.003177,-0.002119,-0.245204,1.003438,-0.000435,14.482544
1.000000,0.998602,1.003087,-0.004484,-0.249298,1.003438,-0.000435,14.482544
1.000000,1.001071,1.003433,-0.002362,-0.245183,1.003438,-0.000435,14.482544
1.000000,0.998615,1.003521,-0.004906,-0.249277,1.003438,-0.000435,14.482544
1.000000,1.001084,1.003279,-0.002196,-0.245162,1.003438,-0.000435,14.482544
1.000000,0.998628,1.003281,-0.004654,-0.249255,1.003438,-0.000435,14.482544
1.000000,1.001096,1.003177,-0.002081,-0.245141,1.003438,-0.000435,14.482544
1.000000,0.998640,1.002981,-0.004340,-0.249234,1.003438,-0.000435,14.482544
1.000000,1.001109,1.003129,-0.002020,-0.245120,1.003438,-0.000435,14.482544
1.000000,0.998653,1.003151,-0.004498,-0.249213,1.003438,-0.000435,14.482544
